Track,Artist,URI,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,chorusHit,sections
Hills Of Katmandu - The True Patrick Cowley Megamix,Tantra,spotify:track:7Gj0KcQcegWQ14JCXePHiz,0.586,0.827,1,-14.322,0,0.0438,0.00469,0.854,0.102,0.565,128.682,833053,4,37.31708,34,0
Jelly Beans,Muzak Orchestra,spotify:track:5YSg2C7xjJPtU5RLlaifeB,0.726,0.56,0,-9.406,0,0.0629,0.854,0.0433,0.56,0.861,128.464,158823,4,23.86025,11,0
Spacer Energy Age,Sensations Fix,spotify:track:68ICRecCNlFKJsCs9DbWcb,0.203,0.317,6,-15.416,1,0.033,0.814,0.88,0.129,0.0728,170.954,232067,4,33.91697,8,0
Winter World Of Love,Engelbert Humperdinck,spotify:track:43bGwVwcsIikAz0PcBi8o8,0.449,0.353,3,-12.823,1,0.0292,0.828,0,0.228,0.298,93.013,197733,3,40.63172,11,1
The End Is Not In Sight (the Cowboy Tune),Amazing Rhythm Aces,spotify:track:2XgmRcQs8o709APqLLNUVd,0.696,0.456,4,-15.175,1,0.0295,0.418,0.000637,0.12,0.92,130.468,230867,4,30.33428,12,1
Paranoid,Black Sabbath,spotify:track:5ERnPWGQc5QK7M7HW3rjC6,0.425,0.622,4,-11.503,0,0.0744,8.89e-05,0.00164,0.17,0.376,162.474,168440,4,24.26388,11,0
Freedom,Dschinn,spotify:track:2gm64s0wlYfoFBAbFdAfKe,0.396,0.655,9,-8.107,1,0.034,0.116,0.00177,0.327,0.607,79.985,286387,4,34.60031,12,0
Old Time Rock & Roll,Bob Seger,spotify:track:1lhpxZT57yw5toGJtt8fGE,0.713,0.931,6,-2.965,1,0.0394,0.219,0,0.0694,0.963,124.127,194147,4,32.1606,9,0
What About Me,Anne Murray,spotify:track:4nHFJleVgRTlqlI8WVKen0,0.536,0.65,4,-10.055,1,0.0308,0.142,1.83e-05,0.153,0.922,136.878,188027,4,28.96377,10,1
Shakin' Street,MC5,spotify:track:3EqfPKnwgiBLUsEs6hY6ip,0.643,0.8,9,-5.182,1,0.0514,0.401,0.000219,0.191,0.853,77.826,139133,4,56.38782,6,0
Mama Keep Your Big Mouth Shut,Stack Waddy,spotify:track:583dVfdKKauV7PSlGwUAZi,0.377,0.525,9,-12.806,0,0.0657,0.00121,0.0207,0.254,0.627,150.335,321893,4,34.32167,8,0
Sound And Vision,David Bowie,spotify:track:1vP2JEXRsGrFbwOZ0foOQ5,0.667,0.804,2,-8.583,1,0.0398,0.0328,0.0544,0.0632,0.759,105.797,184382,4,38.93648,9,1
