Track,Artist,URI,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,chorusHit,sections
Mera Dil Badal De,Junaid Jamshed,spotify:track:1N7ukzKMQltMpI2WZSSwly,0.533,0.254,3,-10.747,1,0.0418,0.9,2.98e-05,0.116,0.411,75.922,384501,4,19.59132,19
"Main Titles - The Little Mermaid - From ""The Little Mermaid""/Score",Alan Menken,spotify:track:09HBvmj0dUeQYHGbKJefR5,0.0912,0.195,7,-16.486,1,0.0366,0.811,0.786,0.27,0.158,86.253,86187,4,42.51191,4
Raghunandana - genre: Vocal; Raga: Kedaragowla; Tala: Rupakam,M. Balamuralikrishna,spotify:track:669EJFv4ly9scpVmy3DbCy,0.547,0.644,6,-7.583,1,0.1,0.707,0.00127,0.338,0.791,146.55,1103160,3,35.96459,54
Be Your Man,Nesian N.I.N.E.,spotify:track:0UxGJcWb5MGtAu1vycuEbJ,0.789,0.495,11,-7.556,0,0.0794,0.046,0.000109,0.0646,0.232,81.315,219787,4,30.62434,10
Rainmaker - 2015 Remaster,Iron Maiden,spotify:track:5mCndiNh0YdtnwMCne4sqZ,0.35,0.952,5,-4.485,1,0.14,0.00122,0,0.262,0.539,86.146,228493,4,78.43578,10
Samovar,The Dreadnoughts,spotify:track:5uoWdMOke4jG5OCOQ1NbVx,0.549,0.976,9,-4.73,1,0.0829,0.00102,0.000504,0.227,0.461,97.093,210720,4,29.76924,11
Spirit (Wanna Stay Here Forever) - Vocal Mix,Fonzerelli,spotify:track:2Xu1uzSI9Je3B4DCPRruJV,0.518,0.626,7,-8.318,1,0.04,0.000183,0.313,0.103,0.111,129.997,417280,4,32.83028,16
Suite For Two Sitars And Indian Folk Ensemble - Part 1,Vijay Raghav Rao,spotify:track:3BKXyZSMDzElcjyeybIAQd,0.419,0.263,10,-12.728,1,0.0451,0.92,0.0644,0.0826,0.504,126.866,966107,4,20.4101,33
The First Rebirth - Sunbeam Remix,Trance Allstars,spotify:track:4i8gRlyUiLo1PnuSVFpWN3,0.492,0.985,11,-6.433,1,0.0459,0.00014,0.978,0.0441,0.373,144.992,207893,4,23.16087,13
Ljósið,Ólafur Arnalds,spotify:track:1tlJp4XADa7tYkPmgX894R,0.482,0.149,5,-11.91,1,0.0288,0.992,0.399,0.101,0.281,146.472,209682,4,77.89839,9
Fat Guys Gotta Rock,Hot Waffles,spotify:track:7lH2QXEmCRQzMCYJ1fY50u,0.538,0.956,9,-3.5,1,0.0334,0.00621,0,0.0919,0.873,104.41,149440,4,29.21789,8
Cemetary Gates,Between The Buried And Me,spotify:track:0uE8lHDb6aVXXgVY5RFNGJ,0.304,0.9,6,-6.099,1,0.0423,0.00227,0.25,0.0809,0.385,147.637,425987,4,68.66794,12
Rain,SID,spotify:track:7wiweCvxdbBw2mTP3AaY9q,0.599,0.801,1,-4.912,0,0.0276,0.0285,0,0.126,0.65,94.955,256067,4,22.35506,9
And Here We Test Our Powers Of Observation,The Bad Plus,spotify:track:2fNCSdonK3E2ODMvAUx92e,0.367,0.833,8,-8.8,1,0.0322,0.197,0.803,0.136,0.491,93.08,261400,4,16.78397,15
Pop-Muzik (feat. G-Hot),Fler,spotify:track:7tHmqEPXRG2IE0jvYzkyY9,0.617,0.551,1,-7.786,1,0.33,0.0456,7.57e-06,0.374,0.182,84.125,227680,4,20.24927,12
