Track,Artist,URI,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,chorusHit,sections
Puttin' on the Ritz - Electro Swing vs Speakeasy Jazz,Wolfgang Lohr,spotify:track:64Dgh33i8STO4vxPk34ZEy,0.839,0.864,5,-6.199,0,0.0471,0.122,0.486,0.0781,0.942,120.053,218000,4,48.5107,8
Both of Us,Idealism,spotify:track:4hnhSZTKf77tZjOBjzL5BM,0.66,0.528,11,-8.139,1,0.109,0.187,0.943,0.174,0.532,84.938,113000,4,23.30706,4
The Pecan Tree,Deafheaven,spotify:track:0whlO9oEAYISh4plID7lXa,0.206,0.785,9,-5.841,0,0.0493,5.12e-05,0.895,0.137,0.201,124.353,686920,4,105.28569,22
Veil of Tears,Cerebral Fix,spotify:track:5mPGQFfahLUiPo0mywZzFy,0.197,0.856,8,-10.309,0,0.0611,4.39e-06,0.294,0.114,0.244,105.342,292667,4,47.65916,13
Tendu - Turkish March for Ballet Class,Ballet L'école,spotify:track:7g9B2Tclp57gucfCjPoc3h,0.572,0.201,2,-19.575,1,0.0525,0.982,0.894,0.084,0.677,111.621,141010,4,56.04865,5
"Chromatic Fantasy & Fugue, BWV 903",Johann Sebastian Bach,spotify:track:5hllClI7PRxS9BUmnfU9se,0.18,0.135,9,-21.792,1,0.045,0.956,0.409,0.142,0.13,84.072,388813,1,23.38844,19
Insane,Flume,spotify:track:0ULEBRTLZhgKisTpgKzAuB,0.348,0.536,5,-8.257,0,0.0454,0.0505,5.97e-05,0.121,0.0479,188.069,213884,4,41.30356,14
Crescent,John Coltrane Quartet,spotify:track:5KpU2bkurGoKg6uyEJHBbg,0.362,0.381,0,-8.789,0,0.0457,0.905,0.00183,0.0737,0.334,74.582,608467,4,23.85848,22
Metal Image,Forward Strategy Group,spotify:track:5L18epnQ5MLHGs5Uv7DZ1D,0.577,0.639,10,-15.492,0,0.0508,0.0124,0.784,0.0993,0.0353,118.996,484093,4,36.82166,17
Cramp Your Style,Breakestra,spotify:track:25K214lmdRXdeOCL2mgTTq,0.761,0.845,1,-7.016,1,0.0776,0.148,0.00111,0.237,0.781,110.692,126000,4,38.98642,5
Feeling Punk - Asle Remix,Todd Terry,spotify:track:404jhDvCr4IQveCLEQ0Nmv,0.739,0.772,4,-10.172,1,0.09,0.00126,0.708,0.0751,0.699,122.997,345854,4,97.5751,8
Selenium Forest,Plini,spotify:track:18pIsa1XH5Eap4SBcSH4Xd,0.471,0.717,3,-7.731,0,0.0388,0.0653,0.897,0.284,0.356,149.981,365641,1,25.2321,14
H.A.A.R.P.,ill-esha,spotify:track:73XW2pOw6K57UuoHziS1x8,0.842,0.443,5,-9.703,0,0.0687,0.0611,0.695,0.305,0.399,106.0,364093,4,30.67517,12
Rock And Roll Again,Blackberry Smoke,spotify:track:4eHRMYU8llQIi7C0d2iOgo,0.703,0.809,4,-3.625,1,0.0328,0.025,7.91e-05,0.196,0.779,113.953,168960,4,33.61759,8
Ninjas Brothas Motha - Original Mix,Love & Light,spotify:track:1eXzH89pFLLnV1I7Qt2myg,0.813,0.525,5,-6.912,0,0.095,0.0203,0.0121,0.672,0.345,105.041,136519,4,60.59916,5
Harvest Scythe,Novembers Doom,spotify:track:37YbiUkcqh1KnFIP1J0cuv,0.263,0.982,1,-2.909,1,0.108,2.72e-06,0.68,0.338,0.151,116.286,340453,3,61.94065,19
Dark Age Funk,Yuni Wa,spotify:track:6hz3QVrAReVnxNDGvX8CE6,0.623,0.532,0,-7.348,1,0.0545,0.00319,0.854,0.149,0.31,168.106,205729,4,69.28787,8
Shake some Action - Remastered,Flamin' Groovies,spotify:track:0n4tvld89khcfqpgbXQRxF,0.507,0.656,10,-11.131,1,0.0343,0.00135,0.00242,0.274,0.337,136.738,272720,4,42.82181,13
Trip Trap,Marcus Miller,spotify:track:1VavHI8bxfg3OH31fuZ7Ps,0.708,0.666,0,-8.224,1,0.0476,0.0593,0.832,0.784,0.89,151.985,419053,4,27.01586,18
Download,The Landers,spotify:track:3tLDVBCBVaM53FGBvEEaof,0.702,0.895,6,-0.149,0,0.251,0.47,0,0.0848,0.631,164.11,216585,4,29.12105,15
Get It Lit,Angerfist,spotify:track:0zrwozl2g07CNJAf0Bf95w,0.489,0.902,1,-2.636,1,0.206,0.194,0,0.351,0.499,174.806,220052,4,17.45262,13
Scraps of the Dead,Invincible Force,spotify:track:4ODcYD3bkogiO15Qa6HXCS,0.251,0.998,8,-4.637,1,0.211,0.0202,0.845,0.37,0.0743,181.658,134160,4,33.02421,7
Merkaba,Hexer,spotify:track:5x6fbzUT8mJBsVLll7Ay1J,0.208,0.362,1,-13.379,0,0.0334,0.0263,0.759,0.173,0.0368,97.247,761983,4,69.73844,31
Summoning the Black Destruction,Invincible Force,spotify:track:7M65keEbggcuLcHZtQ6ESm,0.442,0.988,8,-5.191,1,0.101,0.028,0.83,0.183,0.255,128.392,219360,4,79.50881,9
Nutcracker Suite: Nutcracker Suite: Overture,Duke Ellington,spotify:track:5NdR9K6SgpSfHNzYhXV5q2,0.529,0.273,7,-9.763,0,0.0339,0.782,0.0339,0.0915,0.349,65.237,203933,4,89.40943,7
Don't Trip - JJ's Fastboi88 Re-trip,Justin Jay,spotify:track:5AhS9gc3ehaDz9tYo9BzL1,0.755,0.969,1,-8.283,1,0.215,0.0335,0.929,0.0812,0.0374,137.008,391984,4,30.92087,13
Nunca Es Suficiente,Los Angeles Azules,spotify:track:63USmok1OioBzKuWGW9wAg,0.789,0.518,2,-5.417,0,0.0406,0.398,0,0.0891,0.78,94.001,266213,4,25.31421,12
