Track,Artist,URI,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,chorusHit,sections
Duke And Cookie,Strength In Numbers,spotify:track:7u15YNFXcnqSONwKhUXSKO,0.727,0.329,9,-17.162,1,0.0396,0.742,0.554,0.282,0.797,131.919,203107,4,42.10646,9
Tiab Guls - Remastered,Throbbing Gristle,spotify:track:0G8SZrRITHQd5Hy1cnIJPy,0.236,0.454,1,-19.168,1,0.0407,0.936,0.929,0.111,0.188,91.925,258438,4,92.38081,7
Mystery Of Love,Mr. Fingers,spotify:track:6AvtRMA6AzFNYZ3qEMYpch,0.767,0.686,7,-10.476,1,0.0461,0.0681,0.91,0.111,0.565,114.07,430576,4,59.44458,20
Samba de Verão,Marcos Valle,spotify:track:0ivhQEsgDPmAkLKlwWcR9l,0.763,0.551,9,-10.277,0,0.03,0.724,0.00751,0.0547,0.892,135.838,225027,4,28.85528,11
Metal And Glass Exact - Live,Game Theory,spotify:track:6RWFUDU96RsqoNCb8WIj9Q,0.29,0.589,4,-9.023,1,0.0393,0.695,0.000159,0.559,0.687,120.714,214813,4,30.67995,10
Play For Today,Mike Vickers,spotify:track:1RTXhmeQzGo79fr8HDK94J,0.672,0.675,4,-12.704,0,0.0426,0.572,0.775,0.159,0.953,140.055,110693,4,31.85672,6
A Day Together - Somewhere In Time/Soundtrack Version,John Barry,spotify:track:0yWDaKOFVtbBztfEGE8TLH,0.0914,0.155,0,-18.33,1,0.0359,0.924,0.838,0.102,0.0635,83.973,368773,3,42.33891,17
Pouring Rain,Nataural,spotify:track:07ILGDMJdj609RqKaoDiVz,0.162,1.0,11,-11.068,0,0.0622,0.124,0.99,0.918,1e-05,82.055,162122,4,31.349,6
Eyes of Love,Trevor Rabin,spotify:track:64rmrv8VYY2MpWWsDOlXOd,0.5,0.673,2,-12.859,1,0.0339,0.073,5.86e-05,0.554,0.494,76.295,384093,4,44.60121,15
Si Alguien Lo Quiere Saber,Gualberto Ibarreto,spotify:track:4iWCmzc1V61nHbyDmXBbpt,0.519,0.435,6,-8.844,0,0.0322,0.882,6.55e-06,0.172,0.485,97.437,274560,4,28.36608,17
Yeah Buddy (Extended Mix),Royal House,spotify:track:4E1AdopjTJSO1N52LaVsvC,0.815,0.92,8,-3.358,0,0.141,0.102,0.00112,0.342,0.953,123.032,421293,4,32.64899,17
The Name Of The Next Song,Arthur Russell,spotify:track:6DEF0duScfcB6450onXsr2,0.326,0.403,7,-17.12,1,0.041,0.0195,0.64,0.169,0.247,148.733,480160,4,35.39704,20
Nou Pas Bouger,Salif Keita,spotify:track:7mir2BYBXZVPInqei5suhU,0.78,0.609,6,-12.298,1,0.0323,0.515,0.00635,0.105,0.97,130.504,434773,4,33.82246,20
No Frontiers,Mary Black,spotify:track:2NSS447ixbY5txQqk6VgS8,0.586,0.204,0,-15.326,1,0.0367,0.771,0,0.0934,0.311,126.925,242680,4,39.69457,10
Voices,Roger Eno,spotify:track:3JU3oDXq0VZKJz5DyMaHt5,0.218,0.0439,2,-27.38,0,0.0415,0.958,0.855,0.0899,0.0366,63.864,152027,4,25.5691,9
No More Christmas Blues,Alan Vega,spotify:track:4KtVCpuKHrFJXzcTx6weSN,0.463,0.67,10,-8.544,1,0.0646,0.499,0.00142,0.0776,0.109,90.555,191333,4,29.77855,9
Kaun Kahta Hai (Live),Jagjit Singh,spotify:track:1TsxnjlnoEd3G7rjwtYU0p,0.287,0.615,3,-8.843,1,0.0384,0.81,6.39e-06,0.365,0.583,147.388,341933,3,38.72575,17
De Que Callada Manera,Pablo Milanés,spotify:track:73V3n9J91pwlDhtctzDYrU,0.707,0.716,7,-9.733,1,0.0676,0.0643,2.82e-05,0.0511,0.886,101.328,194093,4,62.89999,6
Shop,Nobuo Uematsu,spotify:track:5mjldutViiF8kVVcf12dqw,0.41,0.257,0,-12.722,1,0.0414,0.00379,0.98,0.394,0.967,100.201,59800,4,16.39221,3
Matta - Remastered,Brian Eno,spotify:track:2uIb2kCEuYjSy9sC4snvJs,0.135,0.057,4,-37.915,0,0.0344,0.975,0.907,0.173,0.0994,92.181,260440,3,44.286,17
Corrido de Mazatlán,José Alfredo Jimenez,spotify:track:0hAjMvazKufvV9X5tfJ7qg,0.73,0.357,7,-14.867,1,0.196,0.92,0,0.198,0.961,133.867,136400,4,37.05088,7
