Track,Artist,URI,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,chorusHit,sections
Club Country,The Associates,spotify:track:5DXXV2BSh2H08ikab2k9Ah,0.545,0.912,0,-5.843,1,0.123,0.0265,0,0.0487,0.484,131.734,287373,4,38.92611,12
Nothing In Something Particular,The Associates,spotify:track:37lnABMysCyY5c1WTcaAxG,0.704,0.799,0,-6.69,1,0.0581,0.0179,0.0229,0.158,0.965,140.769,139267,4,24.7755,6
Love Hangover,The Associates,spotify:track:1IEpnr6ydE6P56IUpXFD65,0.675,0.801,9,-4.685,1,0.0601,0.147,0.121,0.179,0.905,128.915,368800,4,46.12235,14
18 Carat Love Affair,The Associates,spotify:track:2GaEOo7QijHOmVyq6h5rzl,0.637,0.859,5,-5.979,1,0.0987,0.104,2.89e-05,0.15,0.914,142.737,220293,4,52.75096,10
Ulcragyceptimol,The Associates,spotify:track:2ncnvC3Mw8fwwd29cd6Wjj,0.361,0.927,2,-5.371,0,0.124,0.0296,0.0825,0.583,0.513,150.114,269733,4,42.33767,13
And Then I Read A Book,The Associates,spotify:track:7xSk0lc3v3p11SP3fHeTIA,0.294,0.961,7,-6.127,1,0.156,0.00188,0.941,0.0966,0.224,87.801,266200,4,23.7754,11
Australia,The Associates,spotify:track:6u0wVaPulreWEdQTG1MRd0,0.459,0.957,2,-3.751,1,0.122,0.00409,0.00182,0.235,0.476,142.141,197640,4,23.00432,11
Grecian 2000,The Associates,spotify:track:1iZY6uK10y6DKhwW2ZPdHa,0.887,0.58,11,-9.578,0,0.047,0.0361,0.845,0.0361,0.974,118.981,207533,4,36.72571,9
The Room We Sat In Before,The Associates,spotify:track:7uRqi9McuDT2rEpK6seQyP,0.523,0.473,10,-7.36,1,0.052,0.821,0,0.352,0.373,60.598,210973,4,35.03258,10
White Car in Germany,The Associates,spotify:track:2xcy4i0fIJ1Q4GadcLsSu9,0.623,0.436,7,-6.977,1,0.0294,0.119,0.00262,0.0988,0.336,92.294,331440,4,26.66734,16
A Girl Named Property,The Associates,spotify:track:20NbVLxHMsiN8qLf8DH1v5,0.34,0.752,0,-8.181,1,0.0485,0.056,0.102,0.119,0.519,204.49,298613,4,54.67091,13
Kitchen Person,The Associates,spotify:track:4xdNQMfyMYr50oMpU3g38c,0.429,0.791,0,-4.133,1,0.0405,0.00338,0.898,0.325,0.217,147.682,295493,4,23.31831,13
Q Quarters,The Associates,spotify:track:21ntXIi1jgyzbRldYT3vj1,0.617,0.67,11,-5.864,0,0.0635,0.557,0.305,0.177,0.681,114.406,297520,4,58.9296,11
Tell Me Easter's on Friday,The Associates,spotify:track:2uEYuDPK1GsyMr3dUD46ZM,0.641,0.756,9,-5.704,0,0.0403,0.382,0.000139,0.0735,0.457,105.139,270587,4,95.85382,6
The Associate,The Associates,spotify:track:1WJIWQK42giyZOimT4FDAE,0.656,0.944,0,-6.568,1,0.0584,0.0239,0.738,0.305,0.697,120.765,301800,4,48.3864,16
Message Oblique Speech,The Associates,spotify:track:0GN60z2mWHWN9zdvsUnnDO,0.757,0.87,2,-5.507,1,0.115,0.222,0.000133,0.0791,0.815,119.009,336413,4,24.70978,19
