Proverbes,Jacques Dutronc,spotify:track:6MmvKOOh0P6bSf62DsxNUg
Johnny B. Goode,The Master's Apprentices,spotify:track:20XSywiO2xWsmBIEW4UEaw
No Longer A Sweetheart Of Mine,Dillard & Clark,spotify:track:2CgS26bUlNL6Lj881WXHxQ
Nervous Breakdown,The Missing Links,spotify:track:5Rs4PbDKqr2Zv3HkALh2dT
Stoned Soul Picnic,The Village Callers,spotify:track:2Aaa2ABKeeHqLtWaeoNq7O
Shorty Takes a Dive,Dan Hicks & His Hot Licks,spotify:track:5uRMfUyyxRbFhwLhRVHoP0
Mercy on Broadway,Laura Nyro,spotify:track:1MzebQLGsYn5qsoICIaZuQ
You Know,Los Brincos,spotify:track:3BI18q4YI4Xgci0Rz6IF4n
Interview 2 (2017 Remaster),Andrew Loog Oldham,spotify:track:6VDJ8Ph5RKwkismZfL1ycf
I'm Leaving,The Village Callers,spotify:track:6vS06XObO1PcDsr9dSgb5M
Angelica,Stone Country,spotify:track:3ugxG6WaV2F43zapPS6M6s
She Darkened The Sun,Dillard & Clark,spotify:track:2boMDhDaz5RVKVbvv70wGr
Behind The Mind,The Freak Scene,spotify:track:2q05ZNSPp88D69LU6TAaA2
Oh Baby,Big John Patton,spotify:track:5fpkmne3YVnw2x8wBuuAFg
Love Has Taken Wings,Them Two,spotify:track:1God6iUOtP6B8UmHUfpood
Chinese White - 2010 Remaster,The Incredible String Band,spotify:track:51Ntpo2scbIDXRw4hElpsA
Deportation,Eric Morris,spotify:track:0V3ixFl6ZxAtqNiiB4pImD
I Want To Know,The Fugs,spotify:track:32pPoklxtYJSFIvsHWE6PT
Ain't That Peculiar,Big John Patton,spotify:track:7a5QFIEs51IoU5kz6T8TsU
Hey Joe - Live,The Electric Flag,spotify:track:4zHLqP4PkZN2yVCrTy3XrG
One More Heartache,The Tangerine Zoo,spotify:track:2TkzPqSnyW9sWC2E6ib0RJ
Love Me,Les Variations,spotify:track:0uf5PW6A2ruKDfzHf2B7Qx
Just a Closer Walk with Thee,Anita Kerr Quartet,spotify:track:6bWk0ZTbJNL5kCDbeiJ82S
Good Good Lovin',James Brown & The Famous Flames,spotify:track:3QfrV9lCPeIDGmDQcYZcjE
Riverboat Annie,Carl Perkins,spotify:track:0uEgwK6b6HFl22bvo0m1DV
The Flight,The Tangerine Zoo,spotify:track:4f0BvOwy2QtCmWLxbzu3AB
Puttin' On The Ritz,Judy Garland,spotify:track:2M9hFG1P2D8g3KR8uh78IH
Day In - Day Out - Live,Judy Garland,spotify:track:192N4VZhsRILQcMxit639g
Les Vangauguins,Jacques Dutronc,spotify:track:6Iaa0nYaYTEmtW46sf1rb2
In My Dreams,Tages,spotify:track:4mooUKB83n08wHCdOu1saV
Borracho,Los Brincos,spotify:track:5s81WajJkLOAbprSy73ag9
You Don't Have To Go,James Brown & The Famous Flames,spotify:track:0z7cfRmRF6l88tzKC3YeBF
Orchestral Introduction,Anonymous,spotify:track:0GgFpvkPXp4g5wwJhto7zI
Anything You Choose,Spanky & Our Gang,spotify:track:0uM3FQZ0VeqdhA1HJPkRCk
Another Age,Phil Ochs,spotify:track:3sMH5ITpuBPjvLmdTJf0og
Devil Woman,Manfred Mann Chapter Three,spotify:track:1Z1KNCaknj0AgoPQSCwMqE
She Is,Tim Buckley,spotify:track:4k3kkqoQkY3wnGS2W9AXZa
You'll Never Get to Heaven (Stereo Version),Twice As Much,spotify:track:7BFvYuIsaMjtb4bpoMRqiQ
Bits and Pieces,The Pace-Setters,spotify:track:08GMCm9kKMj9lcf0WLMd6n
Jubilee,Norman Greenbaum,spotify:track:5hsGMffSOWW0fPTzZTPzjT
One Rainy Wish,Jimi Hendrix,spotify:track:5Zyv0v4rPcrXjkaeImuodv
Llorarás,Los Golden Stars,spotify:track:5QW4TnoOXrSvaKsMRupJcj
Baltimore Oriole,Judy Henske,spotify:track:0Tf0bbGJxs8vrCBekNQl6v
Double Lovin´,Aynsley Dunbar Retaliation,spotify:track:1TrvuBGqATex8EHajEHrqo
Had To Cry Today,Blind Faith,spotify:track:5zNCFqfUZ0qsrnDRjcJLdW
Car Trouble,The Eligibles,spotify:track:7qWxVvEUlFngyvdvTMfCa3
Extra,Tages,spotify:track:4xe8Ff0wBh3bEUtbw7ZxEk
My Baby Wants To Test Me - Live,The Electric Flag,spotify:track:483lHjo4ZcgaSN33iTW2q1
"A Woman, a Lover, a Friend",Booker T. & the M.G.'s,spotify:track:3wkT55LWMXzYIksSggCaAg
I Get The Blues When It Rains,Judy Garland,spotify:track:59L1uTaBAu9SMBc7D9jLY3
Sleigh Ride,Spanky & Our Gang,spotify:track:018RygRwGEsUfyjuuWksvS
Behind The Door,Graham Gouldman,spotify:track:288NQyrDz4izENo6gFNZZB
Upstairs Downstairs,Graham Gouldman,spotify:track:3rb0GpWFPHndHiM5ZN9QwM
Good Golly Miss Molly,The Sonics,spotify:track:7Iu9BzSnDs5en16EHrktyT
Evil Ways,The Village Callers,spotify:track:5nbMS48RXJQ2Cni22mU0QY
"That's All There Is, There Isn't Any More - Alternate Take",Judy Garland,spotify:track:75zfEbnGFNQAt6NUatVWEf
Shopping Bag Menagerie,Rotary Connection,spotify:track:4AkAWbOphRRKjFWwr1KIEA
Ain't Gonna Move,Larry Williams,spotify:track:3Las7WoNWTVFugM8T5s3gq
5 Definitions Of Love,Spanky & Our Gang,spotify:track:6JWp7h7Snda0GPgbN9P6II
Flower Society (May),Hal Blaine,spotify:track:6OiKyuedED1nR4y2XdYgYl
Understand Your Man,Tim Buckley,spotify:track:380UEMoCzeCvEqn4y4ThW9
Wheels,The Flying Burrito Brothers,spotify:track:0yAqtkTUGrkzHHTmoe5N6s
The World Began In Eden And Ended In Los Angeles,Phil Ochs,spotify:track:2k3KuoBgnMp7t0XtQ869WF
Storm Warning,The Volcanos,spotify:track:3WZQSwsIHXaqKx9lGPPnTq
The Tree - 2010 Remaster,The Incredible String Band,spotify:track:1ZZ6QvF3dri6oXhrevzVw2
Zing! Went The Strings Of My Heart - Live/Medley,Judy Garland,spotify:track:002zOHMdBKYgNGtmmHSE2D
Accept My Ring,The New Colony Six,spotify:track:0bvC50zYFbZlcbBQrFGAHs
Cha tatch ka,Bernard Estardy,spotify:track:6DGAPpaH9L7nWWlxVWpMcu
Breaking up Is Hard to Do,Frankie Valli & The Four Seasons,spotify:track:6W95dkzxu9ycvHKRrnwXNu
Nature's Children,The Tangerine Zoo,spotify:track:0Ws94Idivjt940aI3K5T4y
Rien rien j'disais ça comme ça,Serge Gainsbourg,spotify:track:4nxtrYEYe3pN1pciqQpHde
I'll Be Your Mirror - Alternative Version,The Velvet Underground,spotify:track:6ShcSGpXkynGECty1hKTRe
Happiness Is A Thing Called Joe,Judy Garland,spotify:track:36U00BgTyB3tBdrNlp8R6J
Gianni Schicchi: O mio babbino caro,Giacomo Puccini,spotify:track:0HK2zdbojRW71NfDSjutas
You've Got to Lose,Ike Turner & The Kings Of Rhythm,spotify:track:1EmihTmITczSBUDzL9UWHn
Freefall,Argent,spotify:track:13HvxBkSKJzBTc0AmJKwyI
Apolo,Los Brincos,spotify:track:14McdzmIHzjl1Kgdz82RLz
And I Do Just What I Want,James Brown & The Famous Flames,spotify:track:1oojUd6tM6n6Sd9oAoHcTI
Gypsy Fred,The Koobas,spotify:track:02Md49CbTN4wajN6GSLRy6
Hello Enid,The Mirage,spotify:track:7xNK1u9BWRQNR4wCYTrrsc
I See You're Looking Fine,The New Tweedy Brothers,spotify:track:1ojOute5SVhr2FVwqn3htn
Magnolias,Stone Country,spotify:track:6jo65goVcxnmZL4563ezYU
Stop,The Weeds,spotify:track:1YKsHVQw34ScL7WwpZFMmf
White Christmas (3 O'Clock Weather Report) - Mono,Bobby The Poet,spotify:track:6GQz3EiL1DwaLwdT1mTcIr
Cool Britannia - 2007 Remastered Version,The Bonzo Dog Band,spotify:track:6w27VuPCOGqJryZ4nwarAt
Bruton Town - Bonus Track: Alternate Version,Pentangle,spotify:track:2pikwmjvGepxMlrw7V82GJ
Autoscopie,Bernard Estardy,spotify:track:5QgPYXlQuBHimo8s4fzXtB
You Can't Win (Destruction),Traffic Sound,spotify:track:7uJ3ZIg8F1Yz8bHCgVcTcA
"Hey, Mama",Annette Funicello,spotify:track:6romsCilcvoaqM3aSDAUYo
Christine,J.K. & Co.,spotify:track:0rhtkdGrgQkEiAPfNQM2Xn
Lucy in the Sky with Diamonds,Rainbow Ffolly,spotify:track:2evTo2DceDW1WmN4KxHkxn
Smoke and Fire,LORD DAVID SUTCH,spotify:track:3RyTxPCjzki9jYkgNQJYL1
Winter is Blue - Extract 1 (2017 Remaster),Vashti,spotify:track:4v9eZNKU362aSXFsQYMyzU
"Paint It, Black - Reprise (2017 Remaster)",Chris Farlowe,spotify:track:5Ua0SCe58ScDuhwjFuByuZ
I See The Rain,The Mirage,spotify:track:5vdQidP2jRMZICsPawPB0I
Opening Round,Rotary Connection,spotify:track:4UO21Vqy4ZMB3Hn7mcmQwG
