A Summer Place,Andy Williams,spotify:track:71kwIDWJ0xClRjxvIey6D0,0.39,0.239,7,-15.452,0,0.0274,0.854,1.27e-06,0.0565,0.472,90.387,154867,3,31.08456,9
Triad,The Byrds,spotify:track:7zoiA8mBoaiiYTkzUGtkIe,0.55,0.428,2,-9.981,1,0.0271,0.756,3.62e-05,0.127,0.433,94.181,211933,4,30.36957,14
Kicks,Lou Reed,spotify:track:1oD6UVuuUJ6CSQhdjcHHED,0.565,0.718,9,-8.91,1,0.0465,0.18,0,0.358,0.616,107.388,361720,4,52.17178,16
Do It Again,Terry Callier,spotify:track:1jyZAbljkwNi9VKqoFmI22,0.732,0.645,0,-10.429,1,0.0329,0.136,0.00359,0.247,0.977,126.067,293213,4,31.99761,17
Touch of Grey - 2013 Remaster,Grateful Dead,spotify:track:0mJQlCl9YgxW7kyeltNiVk,0.612,0.696,11,-11.34,1,0.0353,0.0785,9.4e-06,0.14,0.849,159.829,350862,4,18.02389,14
Mexican Radio,Wall Of Voodoo,spotify:track:7dOZxMY4U4YZ3eFwOTABXK,0.497,0.704,0,-12.056,1,0.0346,0.0133,0.000394,0.371,0.582,164.679,251067,4,34.60599,11
Manic Monday - Extended Remix,The Bangles,spotify:track:3JWumPw9b9Y9H0F0ox8KXM,0.658,0.605,2,-9.923,1,0.0312,0.371,1.17e-05,0.365,0.757,122.029,277920,4,117.38844,9
Yaya,Ron Rogers,spotify:track:276XCIujSoTRoYFPbHD7SR,0.647,0.691,3,-7.518,1,0.0532,0.346,0.0032,0.0601,0.266,100.095,232004,4,21.05263,11
Coming to You Live,Charles Earland,spotify:track:0fe8ABoiVGgW0OUxzJWmNb,0.679,0.841,10,-8.455,0,0.0507,0.102,0.0246,0.413,0.96,114.593,375027,4,20.81222,14
Flowers,Zaine Griff,spotify:track:4x7tmE0KusPCoy7FKtEA40,0.45,0.535,0,-7.418,1,0.0318,0.0186,0.00145,0.181,0.298,165.463,246040,4,32.14806,13
La Gata Bajo la Lluvia,RocÃÂÃÂ­o DÃÂÃÂºrcal,spotify:track:2kfSFdq2h0xLXq01em1zc7,0.499,0.648,7,-5.812,1,0.0331,0.723,0,0.576,0.464,88.14,219107,4,33.56609,10
This Time Around,Green On Red,spotify:track:79oKG1FeypbqOqxT2E9Ir9,0.74,0.726,2,-10.318,1,0.0345,0.0262,0.00251,0.0485,0.974,123.615,221560,4,22.66778,11
Pump It Hottie,Redhead Kingpin,spotify:track:7B5crw8IJctURUQAuD2xml,0.748,0.73,0,-10.136,1,0.0856,0.0249,6.91e-05,0.118,0.803,125.875,268707,4,30.53822,14
Backlash Blues,Nina Simone,spotify:track:40Sq1gSrgCjjuMs43XuQgw,0.64,0.46,10,-10.194,1,0.0375,0.727,1.31e-06,0.118,0.85,117.52,146773,4,19.00808,8
Love Machine - Pt. 1,The Miracles,spotify:track:1b833AsiKCEhLLxmdQu9Hw,0.741,0.829,5,-12.048,1,0.0554,0.0637,0,0.048,0.818,143.738,181440,4,44.02124,9
Tears in Heaven,Eric Clapton,spotify:track:7utRJ4BeYx85khzP3lKoBX,0.498,0.242,9,-12.238,1,0.0257,0.835,0.536,0.133,0.312,153.744,271760,4,38.78055,16
Revenge,The Others,spotify:track:6bnV2qC1Gz56bTHg1kOzxw,0.407,0.725,7,-8.027,0,0.0372,0.351,0.341,0.312,0.803,147.581,120253,4,61.2658,4
Detachable Penis,King Missile,spotify:track:7wXPymdFwPwxd6pwt267Tx,0.693,0.767,2,-8.639,1,0.0329,0.0513,0.00279,0.0278,0.822,111.421,203240,4,74.76328,9
Machinehead,Bush,spotify:track:52mw6w5JBQ8ZqpqSUn5H70,0.236,0.866,9,-7.296,1,0.0791,3.57e-05,0.00493,0.1,0.184,113.112,256360,4,39.71368,9
Get Down Tonight,KC & The Sunshine Band,spotify:track:4msPRe3NEDVL6dsBcE7AhL,0.669,0.754,10,-12.223,1,0.0279,0.134,0.0069,0.46,0.906,112.683,315745,4,36.19335,17
