Super Fly Meets Shaft,John & Ernest
So Sad The Song,Gladys Knight And The Pips
"Theme Music For The Film ""2001"" A Space Odyssey from Also Sprach Zarathustr",Berlin Philharmonic
Mother,John Lennon/Plastic Ono Band Yoko Ono/Plastic Ono Band
Women's Love Rights,Laura Lee
Big Leg Woman (With A Short Short Mini Skirt),"Israel ""Popper Stopper"" Tolbert"
Heaven On The 7th Floor,Paul Nicholas
It's In His Kiss (The Shoop Shoop Song),Kate Taylor
The People Tree,"Sammy Davis, Jr. with The Mike Curb Congregation"
I'm Not Gonna Cry Anymore,Nancy Brooks
American Girls,Rick Springfield
You Send Me,Ponderosa Twins + One
Five Hundred Miles,Heaven Bound with Tony Scotti
My Sweet Lady,Cliff DeYoung
Carolyn,Merle Haggard And The Strangers
I Feel A Song (In My Heart)/Don't Burn Down The Bridge,Gladys Knight And The Pips
"Roots, Rock, Reggae",Bob Marley And The Wailers
I Got To Know,Starbuck
"Pops, We Love You (A Tribute To Father)","Diana Ross, Marvin Gaye, Smokey Robinson & Stevie Wonder"
I Wish I Were,Andy Kim
We Been Singin' Songs,Baron Stewart
No More Tears (Enough Is Enough),Barbra Streisand/Donna Summer
Loving You Is A Natural Thing,Ronnie Milsap
Save The Country,Thelma Houston
Whatever Turns You On,Travis Wammack
Love In 'C' Minor - Pt. I,Cerrone
Wombling Summer Party,The Wombles
Gee Baby,Peter Shelley
Disco Duck (Part I),Rick Dees & His Cast Of Idiots
The Last Game Of The Season (A Blind Man In The Bleachers),David Geddes
Hangin' Around,Edgar Winter Group
My Heart Just Keeps On Breakin',The Chi-lites
Do You Think I'm Disco?,Steve Dahl And Teenage Radiation
I Don't Wanna Leave You,Debbie Taylor
The Player - Part 1,First Choice
Runaway/Happy Together,Dawn Featuring Tony Orlando
Unborn Child,Seals & Crofts
I've Gotta Make You Love Me,Steam
I've Got A Thing About You Baby/Take Good Care Of Her,Elvis Presley
Can't You Hear The Song?,Wayne Newton
Life/Only Believe,Elvis Presley
You've Got To Crawl (Before You Walk),The 8th Day
No Time To Lose,The Tarney/Spencer Band
Do Ya Wanna Get Funky With Me,Peter Brown
I'm Gonna Love You,The Intrigues
Theme From Cleopatra Jones,Joe Simon featuring The Mainstreeters
Sister Mary Elephant (Shudd-Up!),Cheech & Chong
Runaway,Charlie Kulis
Light Up The World With Sunshine,"Hamilton, Joe Frank & Dennison"
Dancin' Kid,Disco Tex & The Sex-O-Lettes Featuring Sir Monti Rock III
Highfly,John Miles
Does She Do It Like She Dances,Addrisi Brothers
We Got To Live Together - Part I,Buddy Miles
Run Home Girl,Sad Cafe
Hum A Song (From Your Heart),Lulu with The Dixie Flyers
Ain't That Peculiar,Diamond Reo
Sweet And Innocent,Donny Osmond of The Osmonds
It's The Same Old Song,KC And The Sunshine Band
Will You Love Me Tomorrow,Dana Valery
Captain Howdy,Simon Stokes
Summer Breeze,Seals & Crofts
"Stop, Wait & Listen",Circus
Let's Rock,Ellison Chase
Suite: Man And Woman,Tony Cole
California Day,Starland Vocal Band
"Mama Was A Rock And Roll Singer, Papa Used To Write All Her Songs Part 1",Sonny & Cher
"Baby, Is There Something On Your Mind",McKinley Travis
"Getting It On/Ride, Sally, Ride",Dennis Coffey & The Detroit Guitar Band
Ajax Airlines,Hudson and Landry
Joy,Apollo featuring Tom Parker
Sometimes,Facts Of Life
The Breakdown (Part I),Rufus Thomas
You Gotta Have Love In Your Heart,The Supremes & Four Tops
Ten To Eight,David Castle
I Started Loving You Again,Al Martino
Martha (Your Lovers Come And Go),Gabriel
Do What You Set Out To Do,Bobby Bland
You're The One-Part II,Little Sister
Isn't It About Time,Stephen Stills-Manassas
I'm Falling In Love With You,Little Anthony And The Imperials
Your Mama Don't Dance,Kenny Loggins & Jim Messina
Why Do Lovers (Break Each Other's Heart?),Daryl Hall John Oates
Super Highway,Ballin' Jack
Love Potion Number Nine,The Coasters
Peace Train,Cat Stevens
Gone Too Far,England Dan & John Ford Coley
Groovin' (Out On Life),The Newbeats
Easy Street,Edgar Winter Group
On The Strip,Paul Nicholas
Money,Gladys Knight And The Pips
I've Got To Use My Imagination,Gladys Knight And The Pips
Control Of Me,Les Emmerson
Someday (I Didn't Want To Have to be the One),Henry Gross
I Don't Like To Sleep Alone,Paul Anka with Odia Coates
Growin' Up,Dan Hill
"Dance, Dance, Dance",The New Seekers featuring Marty Kristian
Love Struck,Stonebolt
It's All Right,Jim Capaldi
One Fine Day,Julie
I Gotta Keep Dancin',Carrie
You're The Only One,Geils
It's A Cryin' Shame,Gayle McCormick
Soul Man,Blues Brothers
Keep On Truckin' (Part 1),Eddie Kendricks
Your Love,"Marilyn McCoo & Billy Davis, Jr."
Solo,Billie Sans
Gas Lamps And Clay,Blues Image
Johnny Cool,The Steve Gibbons Band
Hallelujah Day,Jackson 5
Night Dancin',Taka Boom
1927 Kansas City,Mike Reilly
I Want You Back,Jackson 5
Rosalie,Sam Neely
You Know Like I Know,Ozark Mountain Daredevils
Machines,John Livigni
(You've Got Me) Dangling On A String,Chairman Of The Board
Help Me Make It Through The Night,O.C. Smith
Where Did Our Love Go,Donnie Elbert
Groovin' With Mr. Bloe,Cool Heat
Celia Of The Seals,Donovan
Some Kind Of Wonderful,Grand Funk
Louisianna,Mike Kennedy
Good Hearted Woman,Waylon & Willie
'til It's Time To Say Goodbye,Jonathan Cain
It's Too Late/I Feel The Earth Move,Carole King
Jive Turkey (Part 1),Ohio Players
"Shame, Shame, Shame",Shirley And Company
Friendship Train,Gladys Knight And The Pips
Ride A White Swan,Tyrannosaurus Rex
She's Gone,Daryl Hall John Oates
I Will Still Love You,Stonebolt
Bangla-Desh/Deep Blue,George Harrison
Chattanooga Choo Choo,Tuxedo Junction
Rainbow Connection,Kermit (Jim Henson)
Fire & Rain,R.B. Greaves
Cool Aid,Paul Humphrey & His Cool Aid Chemists
I'll Be There,Jackson 5
(You Got To Walk And) Don't Look Back,Peter Tosh with Mick Jagger
Devoted To You,Carly Simon & James Taylor
Raised On Rock/For Ol' Times Sake,Elvis Presley
Morning Much Better,Ten Wheel Drive With Genya Ravan
Down By The River,The Brooklyn Bridge
California Dreamin',America
You Are The One,Sugar Bears
"Look What They've Done To My Song, Ma",Ray Charles
Evil Boll-weevil,Grand Canyon
So Hard Livin' Without You,Airwaves
I'm A Woman,Maria Muldaur
Didn't We,Barbra Streisand
Oh Well - Pt. I,Fleetwood Mac
Dancin' Fever,Claudja Barry
Bad Luck,The Atlanta Disco Band
Everything's Tuesday,Chairman Of The Board
I'm Coming Home,Johnny Mathis
Flyin' High,The Blackbyrds
Don't Make Me Pay For His Mistakes,Z.Z. Hill
Them Changes,Buddy Miles & The Freedom Express
Questions 67 And 68/I'm A Man,Chicago
Party Music,Pat Lundi
Alvin Stone (The Birth & Death Of A Gangster),Fantastic Four
Dear Prudence,Katfish
Why Can't We Be Lovers,Holland-Dozier
Shades Of Green,The Flaming Ember
Dance Master Pt. 1,Willie Henderson
Wholy Holy,Aretha Franklin With James Cleveland & The Southern California Community Choir
Angeleyes,ABBA
Come Softly To Me,The New Seekers
The Language Of Love,The Intrigues
Dueling Tubas,Martin Mull and Orchestra
I'm On Fire,Jim Gilstrap
"Rain, Oh Rain",Fools Gold
Gimme Some Lovin'-Pt. 1,"Traffic, Etc."
A Part Of You,Brenda & The Tabulations
Funky Nassau-Part I,The Beginning Of The End
Pirate,Cher
Man Sized Job,Denise LaSalle
But I Do,Bobby Vinton
Bridge Over Troubled Water/Brand New Me,Aretha Franklin
(Every Time I Turn Around) Back In Love Again,LTD
Do Your Dance - Part 1,Rose Royce
It Doesn't Matter Anymore/When Will I Be Loved,Linda Ronstadt
Dancin',Grey & Hanks
Albert Flasher/Broken,The Guess Who
The Love I Lost (Part 1),Harold Melvin And The Blue Notes
Stay Away From Me (I Love You Too Much),Major Lance
Summer Breeze (Part 1),The Isley Brothers
Give Me Just A Little More Time,Chairman Of The Board
Forever Came Today,Jackson 5
"Do What You Want, Be What You Are",Daryl Hall John Oates
You + Me = Love/Let's Go Down To The Disco,Undisputed Truth
Remember (Christmas),Nilsson
The Fightin' Side Of Me,Merle Haggard And The Strangers
It Ain't Easy Comin' Down,Charlene
Reaching For The World,Harold Melvin And The Blue Notes
Three Steps From True Love,The Reflections
Daddy Cool,Boney M
This Is My Love Song,The Intruders
I Hate Hate,Razzy
Sugar Pie Guy Pt. 1,The Joneses
Ain't It Funky Now (Part 1),James Brown
Somebody's Been Sleeping,100 Proof Aged in Soul
(I Don't Want To Love You But) You Got Me Anyway,Sutherland Brothers And Quiver
Number One,Eloise Laws
Mary Had A Little Lamb/Little Woman Love,Wings
"Whatever You Got, I Want",Jackson 5
If I Were A Carpenter,Bob Seger
Let's Stay Together,Isaac Hayes
Easy To Be Free,Rick Nelson
You Stepped Into My Life,Wayne Newton
I've Lost You/The Next Step Is Love,Elvis Presley
Themes From The Wizard Of Oz,Meco
Take The Money And Run,Steve Miller
Starting All Over Again,Mel And Tim
The Closer I Get To You,Roberta Flack With Donny Hathaway
Who Loves You Better - Part 1,The Isley Brothers
Get It Together,Jackson 5
You Got The Magic,John Fogerty
Where Have They Gone,Jimmy Beaumont And The Skyliners
Summer Nights,John Travolta & Olivia Newton-John & Cast
Dig The Gold,Joyce Cobb
"Barbara, I Love You",New Colony Six
Deeply,Anson Williams
Nevertheless/Louisiana Lou And Three Card Monty John,The Allman Brothers Band
Soolaimón (African Trilogy II),Neil Diamond
Got To Believe In Love,Robin McNamara
Street Talk,B.C.G. (B.C. Generation)
A Friend Of Mine Is Going Blind,John Dawson Read
Mixed Up Guy,Joey Scarbury
Blind Eye/Sweet Lorraine,Uriah Heep
Future Shock,Hello People
Neanderthal Man,Hotlegs
Chirpy Chirpy Cheep Cheep,Mac And Katie Kissoon
If You Can Beat Me Rockin' (You Can Have My Chair),Laura Lee
Sho Nuff Boogie (Part I),Sylvia And The Moments
Help Wanted,The Hudson Brothers
"Oh No, Not My Baby",Merry Clayton
The Love You Save/I Found That Girl,Jackson 5
Ease On Down The Road,Diana Ross & Michael Jackson
Don't Cry Daddy/Rubberneckin',Elvis Presley
Make Me Happy,Bobby Bloom
The Game Is Over (What's The Matter With You),Brown Sugar
Satin Soul,Love Unlimited Orchestra
"Curious Mind (Um, Um, Um, Um, Um, Um)",Johnny Rivers
We're All Goin' Home,Bobby Bloom
(I Know) I'm Losing You,Rod Stewart With Faces
My Sweet Lord/Isn't It A Pity,George Harrison
Gimme Some More,The JB's
Tarkio Road,Brewer And Shipley
Gypsy Queen - Part 1,Gypsy
Come And Get Your Love,Roger Daltrey
Cherish What Is Dear To You (While It's Near to You),Freda Payne
Whispering/Cherchez La Femme/Se Si Bon,Dr. Buzzard's Original Savannah Band
Oh Very Young,Cat Stevens
"You, Me And Mexico",Edward Bear
Minnesota,Northern Light
Stick-Up,The Honey Cone
Honky Tonk - Part 1,The James Brown Soul Train
When Love Has Gone Away,Richard Cocciante
The Day I Found Myself,The Honey Cone
So You Are A Star,The Hudson Brothers
"Cuz It's You, Girl",James Walsh Gypsy Band
When You're Young And In Love,Ralph Carter
Never My Love,Addrisi Brothers
Heat Wave/love Is A Rose,Linda Ronstadt
Day By Day (Every Minute of The Hour),The Continental 4
I'm Coming Home,Stories
Have You Ever Seen The Rain/Hey Tonight,Creedence Clearwater Revival
Get Dancin',Disco Tex & The Sex-O-Lettes Featuring Sir Monti Rock III
Make Me The Woman That You Go Home To,Gladys Knight And The Pips
Angelica,Oliver
Walk A Mile In My Shoes,Joe South and The Believers
If Love Must Go,Dobie Gray
Hurt/for The Heart,Elvis Presley
I'm On My Way,Captain & Tennille
The Hurt,Cat Stevens
Midnight Light,LeBlanc & Carr
Comin' Home,Delaney & Bonnie & Friends/Eric Clapton
Eve,Jim Capaldi
What You See Is What You Get,Stoney & Meatloaf
You've Got Another Thing Coming,Hotel
Let Your Love Flow,Bellamy Brothers
Norma Jean Wants To Be A Movie Star,Sundown Company
Finder's Keepers,Chairman Of The Board
You And Me,Liner
Me And My Baby Got A Good Thing Going,Lyn Collins
Brother Rapp (Part 1),James Brown
Sixty Minute Man/Mother-In-Law,Clarence Carter
Can't Take My Eyes Off You,Nancy Wilson
All I Know,Garfunkel
Deteriorata,National Lampoon
Elena,The Marc Tanner Band
It's Forever,The Ebonys
In Thee,Blue Oyster Cult
Rosanna,Dennis Yost And The Classics IV
Westbound #9,The Flaming Ember
Ain't Got Time,The Impressions
Bongo Rock,The Incredible Bongo Band
Give Me An Inch,Ian Matthews
Border Song (Holy Moses)/You And Me,Aretha Franklin
"Mozart Symphony No. 40 In G Minor K.550, 1st Movement",Waldo De Los Rios
Baby Don't You Know,Wild Cherry
Jam Band,Disco Tex & The Sex-O-Lettes Featuring Sir Monti Rock III
I Got Ants In My Pants (and i want to dance) (Part 1),James Brown
No No Song/snookeroo,Ringo Starr
Love In The Shadows,Neil Sedaka
Do Me Right,Detroit Emeralds
We've Got Tonight,Bob Seger & The Silver Bullet Band
Everyone's Agreed That Everything Will Turn Out Fine,Stealers Wheel
In The Bottle,Brother To Brother
Open Sesame - Part 1,Kool & The Gang
"December, 1963 (Oh, What a Night)",The 4 Seasons
In The Midnight Hour,Samantha Sang
Big Time Operator,Keith Hampshire
I'm Your Boogie Man,KC And The Sunshine Band
Please Tell Him That I Said Hello,Debbie Campbell
I Am...I Said/Done Too Soon,Neil Diamond
Mr. D.J. (5 For The D.J.),Aretha Franklin
You Brought The Joy,Freda Payne
Don't Let Go,Isaac Hayes
Rhapsody In White,Love Unlimited Orchestra
Once You Understand,Think
Goin' Down (On The Road To L.A.),Terry Black & Laurel Ward
On And On,Gladys Knight And The Pips
Fallin' In Love,"The Souther, Hillman, Furay Band"
Fire And Rain,Johnny Rivers & Friends
Rapper's Delight,Sugarhill Gang
Beth/Detroit Rock City,KISS
"""Roots"" Medley",Quincy Jones
One Man's Leftovers (Is Another Man's Feast),100 Proof Aged in Soul
Tweedlee Dee,Little Jimmy Osmond
Love And Desire (Part I),Arpeggio
Heartbreak Hotel,Frijid Pink
"""Having A Party"" Medley",The Ovations (Featuring Louis Williams)
Hollywood,Rufus Featuring Chaka Khan
Sister James,Nino Tempo And 5th Ave. Sax
Moody Blue/she Thinks I Still Care,Elvis Presley
America/Standing/Because I Love You,The Five Stairsteps
You're All I Need To Get By,Johnny Mathis & Deniece Williams
(I Will Be Your) Shadow In The Street,Allan Clarke
If I Said You Have A Beautiful Body Would You Hold It Against Me,Bellamy Brothers
Stars In My Eyes,Sugarloaf/Jerry Corbetta
Neither One Of Us (Wants To Be The First To Say Goodbye),Gladys Knight And The Pips
Silver Star,The 4 Seasons
Lucifer,Bob Seger System
The Morning Of Our Lives,Arkade
Whole Lotta Love,King Curtis & The Kingpins
Pow Wow,Cory Daye
Tonight I'll Say A Prayer,Eydie Gorme
Hot Dawgit,"Ramsey Lewis And Earth, Wind & Fire"
Without You,Nilsson
Could Heaven Ever Be Like This (Part 1),Idris Muhammad
I Don't Want To Do Wrong,Gladys Knight And The Pips
I Don't Want To Be A Lone Ranger,Johnny Guitar Watson
Never Can Say Goodbye,Jackson 5
Alright In The City,Dunn & McCashen
Workin' At The Car Wash Blues,Jim Croce
She,Southcote
"You Want It, You Got It",Detroit Emeralds
Wooden Heart,Bobby Vinton
Love Finds It's Own Way,Gladys Knight And The Pips
School Boy Crush,AWB
Bombs Away,Bob Weir
Mary's Boy Child / Oh My Lord,Boney M
"Mean Little Woman, Rosalie",Tommy Roe
Want You To Know,Rotary Connection
Move Your Boogie Body,Bar-Kays
You Light Up My Life/Believe In Humanity,Carole King
I Can't Hear You No More/Music Is My Life,Helen Reddy
"Started Out Dancing, Ended Up Making Love",Alan O'Day
If It's Alright With You,Rose Colored Glass
Gotta Get Back To You,Tommy James And The Shondells
The Lonely One,Special Delivery Featuring Terry Huff
Love Machine (Part 1),The Miracles
Welfare Cadilac,Guy Drake
C'mon,Poco
Make It Funky (Part 1),James Brown
Funky President (People It's Bad)/Coldblooded,James Brown
How Can I Forget/Gonna Give Her All The Love I've Got,Marvin Gaye
You Need Love Like I Do (Don't You),Gladys Knight And The Pips
Let's Clean Up The Ghetto,Philadelphia International All Stars
"Vincent (Starry, Starry Night)/Castles In The Air",Don McLean
Amanda,Waylon
Eighteen With A Bullet,Pete Wingfield
Double Barrel,Dave & Ansil Collins
And My Heart Sang (Tra La La),Brenda & The Tabulations
What A Wonderful Thing We Have,The Fabulous Rhinestones
Don't Change On Me,Ray Charles
Back Together Again,Daryl Hall John Oates
Ma Belle Amie,The Tee Set
Corner Of The Sky,Jackson 5
Going To The Country,The Steve Miller Band
Come Together/Something,The Beatles
Down The Hall,The 4 Seasons
It Ain't Love,Tom Powers
Storybook Children (Daybreak),Bette Midler
Don't Leave Me In The Morning,Odia Coates
Where Have All Our Heroes Gone,Bill Anderson
Power To The People,John Lennon/Plastic Ono Band Yoko Ono/Plastic Ono Band
One Toke Over The Line,Brewer And Shipley
The Court Of The Crimson King - Part 1,King Crimson
Fire Sign,Cory
I'll Come Running,Livingston Taylor
The Blind Man In The Bleachers,Kenny Starr
Soul Song,Joe Stampley
If I Ever Lose This Heaven,AWB
Let It Shine/He Ain't Heavy...He's My Brother,Olivia Newton-John
Looking Through The Eyes Of Love,The Partridge Family Starring Shirley Jones Featuring David Cassidy
Love Is All You Need,High Inergy
Moon Walk Part 1,Joe Simon
Little Bitty Pretty One,Jackson 5
It's Your Life,Andy Kim
Up Around The Bend/Run Through The Jungle,Creedence Clearwater Revival
You're All I Need To Get By,Tony Orlando & Dawn
Disco Lucy (i Love Lucy Theme),Wilton Place Street Band
At Midnight (My Love Will Lift You Up),Rufus Featuring Chaka Khan
Is That The Way,Tin Tin
You Don't Have To Say You Love Me/Patch It Up,Elvis Presley
Morning Has Broken,Cat Stevens
Everybody Ought To Be In Love,Paul Anka
Oh Well,Rockets
Do You Feel All Right,KC And The Sunshine Band
Good Guys Only Win In The Movies,Mel And Tim
(What A)  Wonderful World,Art Garfunkel With James Taylor & Paul Simon
Rivers Of Babylon,Boney M
Sittin' On A Time Bomb (Waitin' For The Hurt To Come),The Honey Cone
For Elise,The Philarmonics
Mighty Love - Pt. 1,The Spinners
Baby Face,The Wing And A Prayer Fife & Drum Corps.
(How Bout A Little Hand For) The Boys In The Band,The Boys In The Band
The Princess And The Punk,Barry Mann
Soul Je T'aime,Sylvia And Ralfi Pagan
Good Morning,Michael Redway
Ease On Down The Road,Consumer Rapport
Express Yourself,Charles Wright And The Watts 103rd Street Rhythm Band
My Fair Share,Seals & Crofts
Come Back Home,Bobby Goldsboro
Steppin' Out,Neil Sedaka
Looks Like Love Again,Dann Rogers
She Called Me Baby,Charlie Rich
Hey! Love/Over And Over,The Delfonics
When I Fall In Love/Are You Lonesome Tonight,Donny Osmond
It's Really You,The Tarney/Spencer Band
Don't It Make You Want To Go Home,Brook Benton With The Dixie Flyers
Please Don't Go,KC And The Sunshine Band
There It Goes Again,Barbara And The Uniques
The Killing Of Georgie (Part I And II),Rod Stewart
Coconut,Nilsson
Dis-Gorilla (Part 1),Rick Dees & His Cast Of Idiots
Valerie,Cymarron
Let Me In,Derringer
How Can I Tell You,Travis Wammack
Who Do You Think You Are,Bo Donaldson And The Heywoods
Anthem,Wayne Newton
Vahevala,Kenny Loggins With Jim Messina
Fire,Mother's Finest
Jambalaya (On The Bayou),The Blue Ridge Rangers
Long Time To Be Alone,The New Colony Six
Come Go With Me,Pockets
Uptown Festival (Part 1),Shalamar
Tell 'Em Willie Boy 's A'Comin',Tommy James
Try It On,Exile
(How I Spent My Summer Vacation) Or A Day At The Beach With Pedro & Man - P,Cheech & Chong
Can You Feel It,Bobby Goldsboro
Softly Whispering I Love You,The English Congregation
The Girl Who Loved Me When,The Glass Bottle featuring Gary Criss
Love Land,Charles Wright And The Watts 103rd Street Rhythm Band
(Do The) Push And Pull Part I,Rufus Thomas
Toby/that's How Long,The Chi-lites
Help Me Make It (To My Rockin' Chair),B.J. Thomas
Frankenstein,Edgar Winter Group
Virginia (Touch Me Like You Do),Bill Amesbury
I Don't Wanna Go,Joey Travolta
I'm So Anxious,Southside Johnny & The Asbury Jukes
Simply Call It Love,Gene Chandler
Swing Your Daddy,Jim Gilstrap
Wildfire,Michael Murphey
"Baby, I Need Your Loving",O.C. Smith
Sylvia's Mother,Dr. Hook And The Medicine Show
California On My Mind,Morning Mist
I'll Be Holding On,Al Downing
Was Dog A Doughnut,Cat Stevens
The Cat Walk,The Village Soul Choir
That's Why You Remember,Kenny Karen
Me And My Arrow,Nilsson
"Ruby, Baby","Billy ""Crash"" Craddock"
Something About You,LeBlanc & Carr
Angel Baby,Dusk
Mamacita,The Grass Roots
Wildflower,The New Birth
Slowdown,John Miles
Eh! Cumpari,Gaylord & Holiday
High Time We Went/Black-Eyed Blues,Joe Cocker
King Kong - Pt. I,The Jimmy Castor Bunch
The Circle Is Small (I Can See It In Your Eyes),Gordon Lightfoot
United We Stand,The Brotherhood Of Man
That's The Way I Feel About Cha,Bobby Womack & Peace
Daytime Night-Time,Keith Hampshire
When The Morning Comes,Hoyt Axton
Love Makes The World Go Round,Odds & Ends
The Right Feeling At The Wrong Time,Hot
The Shape Of Things To Come,The Headboys
She,Tommy James And The Shondells
Baby Let Me Take You (In My Arms),Detroit Emeralds
"Good Times, Rock & Roll",Flash Cadillac And The Continental Kids
"""Joy"" Pt. I",Isaac Hayes
Sunday Mornin',Oliver
Only One Woman,Nigel Olsson
Down To The Station,B.W. Stevenson
Hollywood Hot,The Eleventh Hour
Promises,Eric Clapton And His Band
I Need A Lover,John Cougar
Sad Girl,Carl Graves
Hey Shirley (This Is Squirrely),Shirley & Squirrely
Co-Co,The Sweet
Shinin' On,Grand Funk
One Monkey Don't Stop No Show Part I,The Honey Cone
Stargazer,Peter Brown
"Let Me Party With You (Part 1) (Party, Party, Party)",Bunny Sigler
If I Were Your Woman,Gladys Knight And The Pips
Come On And Say It,The Grass Roots
If You Don't Know Me By Now,Harold Melvin And The Blue Notes
I Need Someone (To Love Me),Z.Z. Hill
Rub It In,"Billy ""Crash"" Craddock"
Save Your Kisses For Me,Bobby Vinton
Melanie Makes Me Smile,Tony Burrows
"Love Theme From ""The Godfather""",Carlo Savina
Gotta Be The One,Maxine Nightingale
When You Feel Love,Bob Mcgilpin
Bless The Beasts And Children,Barry DeVorzon And Perry Botikin Jr.
Chain Gang Medley,Jim Croce
Lay A Little Lovin' On Me,Robin McNamara
Peter Gunn,Deodato
Sing A Song/Make Your Own Kind Of Music,Barbra Streisand
Tie A Yellow Ribbon Round The Ole Oak Tree,Dawn Featuring Tony Orlando
Hurry Sundown,Outlaws
Keep It Comin' Love,KC And The Sunshine Band
Taurus,Dennis Coffey & The Detroit Guitar Band
You And Your Baby Blues,Solomon Burke
Love Is The Message,MFSB Featuring The Three Degrees
Good Morning Freedom,Daybreak
American Pie (Parts I & II),Don McLean
Friends,Feather
Easy Loving,Freddie Hart
Got To Give In To Love,Bonnie Boyer
C'est La Vie,Greg Lake
Simple Song Of Freedom,Buckwheat
Boogie Shoes,KC And The Sunshine Band
I Never Said I Love You,Orsa Lia
Disco Sax/for The Love Of You,Houston Person
"Please, Mr. President",Paula Webb
Love Is What You Make It,The Grass Roots
Wild World,Cat Stevens
Girls' School,Wings
I'm Girl Scoutin',The Intruders
"Love, Peace And Happiness",Chambers Brothers
You'll Love Again,Hotel
Sitting,Cat Stevens
Blood Is Thicker Than Water,William DeVaughn
I Bet He Don't Love You (Like I Love You),The Intruders
Dance With Me,Peter Brown With Betty Wright
Snow Blind Friend,Steppenwolf
Jungle Love,The Steve Miller Band
(Not Just) Knee Deep - Part 1,Funkadelic
Lost Horizon,Shawn Phillips
Remember (Walking In The Sand),Louise Goffin
Day Is Done,Brooklyn Bridge
Grow Some Funk Of Your Own/I Feel Like A Bullet (In The Gun Of Robert Ford),Elton John
Falling,LeBlanc & Carr
And You And I (Part II),Yes
The Pride (Part I),The Isley Brothers
Let's Live Together,The Road Apples
Wake Up Everybody (Part 1),Harold Melvin And The Blue Notes
"I Wanna Dance Wit' Choo (Doo Dat Dance), Part I",Disco Tex & The Sex-O-Lettes
Since I Fell For You/I'm Falling In Love,"Hodges, James And Smith"
"(Shake, Shake, Shake) Shake Your Booty",KC And The Sunshine Band
Beginnings/Colour My World,Chicago
I'm Sorry,Joey Heatherton
You Ain't Seen Nothing Yet/Free Wheelin',Bachman-Turner Overdrive
I Received A Letter,Delbert & Glen
Games,Redeye
Mornin Mornin,Bobby Goldsboro
Rich Girl,Daryl Hall John Oates
Then You Can Tell Me Goodbye,Toby Beau
"Tighter, Tighter",Alive & Kicking
It's Alright,Graham Central Station
I Heard The Voice Of Jesus,Turley Richards
Save Me,Merrilee Rush
"Too Much, Too Little, Too Late",Johnny Mathis/Deniece Williams
Bad Water,The Raelettes
Travelin' Band/Who'll Stop The Rain,Creedence Clearwater Revival
Our Last Song Together,Bo Donaldson And The Heywoods
Seaside Woman,Suzy And The Red Stripes
Didn't It Look So Easy,The Stairsteps
