Sh-Boom - Single Version,The Chords,spotify:track:65q2B21oEbjSPrPHQb0MT8
Gangsta's Paradise,Coolio,spotify:track:7lQWRAjyhTpCWFC0jmclT4
Project Blue,The Banshees,spotify:track:6ohqx8uxOmUtEnyTECa5An
Cupid,Johnny Nash,spotify:track:74FDr9vJuxKWvXPhF5lPf7
Misled,Kool & The Gang,spotify:track:1TTRvU5OO7CUZQlj3ujFce
Misirlou,Dick Dale and his Del-Tones,spotify:track:3yuhWcddu8hgwlMIAyFamR
"Sing, Sing, Sing",Anita O'Day,spotify:track:5G6u0R5Z3qdaDtcWUvSiQo
Sober,TOOL,spotify:track:6DyywdbmTzlmXBzG9ym7Rt
Home For A Rest,Spirit Of The West,spotify:track:41hzhXfYJYVFWF21JrmkA9
Puzzle Pieces,Tiger Trap,spotify:track:5lLKxcnQpr3mnx22LaJttc
Gel,Collective Soul,spotify:track:7xGbmikDr9ZF9QsevTm5VD
Jazz (We've Got) - Re-Recording,A Tribe Called Quest,spotify:track:6KpS6WqJSjSFPIGs9wqf4u
Wouldn't Change A Thing,Deep Blue Something,spotify:track:7vPrXy4pLzFjMT3XHIbExD
Shine On,The House of Love,spotify:track:0jPprFhDpOfkK3AmgYUCKg
(They Long To Be) Close To You,Gwen Guthrie,spotify:track:16042JGTKvVDOkyQ7tOI3Z
The Bad Touch,Bloodhound Gang,spotify:track:5EYdTPdJD74r9EVZBztqGG
Reelin' And Rockin',Hasil Adkins,spotify:track:3hYcympcjvbOdpjXT2ny0h
Fire in My Heart,Madleen Kane,spotify:track:0DpkPWSQoPTos74Kbx9Guy
Nothing To Be Done,The Pastels,spotify:track:4vReegUzNPc2t06jJKgieU
"Guitar Solo, No. 5",Neil Young,spotify:track:1JxRExof2R93NuZsH2jzR6
Kick The P.A.,Korn,spotify:track:6oWADiX0dhe9mswlC1hiUx
Heroin Girl,Everclear,spotify:track:3y6aldPuiRmCzamj6pivBM
Not If You Were The Last Junkie On Earth,The Dandy Warhols,spotify:track:3M7bAbqHp8mfI3DsYADdcS
Broken Bones - City of Love - Radio Mix,Love Inc.,spotify:track:1yPlfMljrUqbaQNcfzuCaq
The Right Stuff,Vanessa Williams,spotify:track:04c7gHwmtsa37ejt5o3Kdp
Morning Sunshine,The Idle Race,spotify:track:6Nny1WrFpBvhgbqHhI4j0W
Hell Is Round The Corner,Tricky,spotify:track:2wC0qK8JN6gblb0ZJzE2d9
The Marionette,Tristeza,spotify:track:6MxIHiTKP08V2UhPPT7mYO
Too Tight,Con Funk Shun,spotify:track:05NF1xc8Td6ASQvzd6z8RT
Mother Mother,Tracy Bonham,spotify:track:6WGaVdhY8uMWMgxiKpdLVy
Pork roll egg and cheese,Ween,spotify:track:7tLb4Ut5DnJXAoOIhzPXyE
Send Me An Angel,Scorpions,spotify:track:4rBgm0zIGwwAhuUibPehy2
The 19th Most Powerful Woman In Rock,Supersuckers,spotify:track:2mqb6nTl5avMukZ6C5PWdS
Need You Around,Smoking Popes,spotify:track:0skxqaapKhdZ2BW5H1Umxh
"On Green Dolphin Street - Live At The It Club, Los Angeles, CA/1970",Gene Harris & The Three Sounds,spotify:track:3hIMXAsKqBm3zJlFRAMwfI
Elusive Butterfly,Bob Lind,spotify:track:226EXK5tPVsqaZ2y9RACR0
Bold Soul Sister,Ike & Tina Turner,spotify:track:4Bdv9gPx1Efb1lYH5V0XYa
Piece Of My Heart,Janis Joplin,spotify:track:1eujVQsT9v7ZTtvAkTEdZr
Rocket Man (I Think It's Going To Be A Long Long Time),Elton John,spotify:track:7GqKRV0pbiDrKmhu8D55JH
Bad Man,Oblivians,spotify:track:6Sx46X7A4GOP0lIcVpba23
Hypnotize,The Notorious B.I.G.,spotify:track:2ujbOwvdiH020TO5EucGiX
Can't Hide Love,Carmen McRae,spotify:track:6G0rZ2W59tmR0Ei1EM31nS
Landmine Spring,Quicksand,spotify:track:4kqAUoDhmGzFw8BCl2X5vA
Nosferatu Man,Slint,spotify:track:6GAXCHVUI8qs39OIOmhWBb
Fly On the Wall,The Jesus Lizard,spotify:track:1Sbixy29J3ii37kXrJvwgQ
I Got A Girl,Tripping Daisy,spotify:track:5fxfwjQ1OmbnkOlg39HsSO
Don't Push It Don't Force It,Leon Haywood,spotify:track:2krg5rJxl3xcz96HBosta7
Standing Outside a Broken Phone Booth with Money in My Hand,Primitive Radio Gods,spotify:track:47Ut22CeIzd0PRIcrm4sDd
God Gave Rock 'N' Roll To You II,KISS,spotify:track:7JFysVNd8IeMpKLt4SEjN4
From the Heart,Another Level,spotify:track:5lg3WRgq89Bpa2vcqRg752
Psycho,The Sonics,spotify:track:77DvhwGhnmfrXWwiJzeIMC
Alison,Slowdive,spotify:track:55CenVQ4alvDJ1PS8aYB0m
The Kicker,Grant Green,spotify:track:13iVQrEf1JkZ6qzPS6egtW
Chain Me To The Beat - Danny Tenaglia Radio Edit,Soul VeritÃÂÃÂ©,spotify:track:2CTQSvMawHWIYSc9RFd7rV
Burn Rubber On Me (Why You Wanna Hurt Me),The Gap Band,spotify:track:4QWGpQjCFzlQWsB6CKSDIF
"Pavel Chinezu, Leat 1479",Phoenix,spotify:track:0aPpqm3PZC2ROJJD5EGnpq
Tipp City,The Amps,spotify:track:5aIG3M4Z8eBpaV3F42LZ1C
In A Big Country - Radio Edit,Big Country,spotify:track:2eKuTki5i6iuxgzDHyqD6Q
Wine Wine Wine,The Ready Men,spotify:track:2Mj7bOHjkQFhz0uaXiR3Qp
Waitin' in Your Welfare Line,Buck Owens,spotify:track:1gk3hBGIS8JaDOYDNQwvr2
Rescue Me - Single Version,Fontella Bass,spotify:track:6TcAIoLZShiaCUQSnWW4Ve
Every Time,Janet Jackson,spotify:track:5lgZax3wvO1oW3Bn0p9veJ
Eight Miles High,The Byrds,spotify:track:4Zb6DCJIfAxOO4O10fxblb
"I Don't Want to Miss a Thing - From ""Armageddon"" Soundtrack",Aerosmith,spotify:track:225xvV8r1yKMHErSWivnow
Seven,Sunny Day Real Estate,spotify:track:1QpHhKFLbcN2alQ9YFRL0l
Sickle Clowns,The Pretty Things,spotify:track:3hJgCNiD8vmNjkhFpSZdjd
If You Should Need A Friend - Friendship Mix,Blaze,spotify:track:42MHgFUJWxOTajVCj7hxwj
No Voice In The Sky,MotÃÂÃÂ¶rhead,spotify:track:5BXqxkJcbpbDCrnfW9DB2N
Sunny,Booker T. & the M.G.'s,spotify:track:3S80BeZOHtVw59qop6i4bv
Voodoo,Godsmack,spotify:track:3jyk65YVdxWr2B8iys6ds8
Sincerely,The Moonglows,spotify:track:1BdvU12RWtXqK8FT78GWbw
Cry Baby,Garnet Mimms & The Enchanters,spotify:track:6BiQOxPWVZvum3BZ2Bd4a7
Don't You Love It,Maxine Singleton,spotify:track:70e17yxZ8PBZShMPuWRiNa
Ju Ju Hand,Handsome Dick Manitoba,spotify:track:7KXgqzCewp5mnMw1MmQl8s
My World Fell Down,Sagittarius,spotify:track:5k0QqnRx7NKihQ7LXSv4wA
What Do I Have to Do?,Stabbing Westward,spotify:track:5Ov1sRzyusTNbrK7Q9FvSU
Do You Remember The First Time?,Pulp,spotify:track:0txLC5NA64M8siGn3mnET0
Tender Surrender,Steve Vai,spotify:track:1BpMzIbVYhLfXTQe7ob2sY
Buckaroo,The Flying Burrito Brothers,spotify:track:3YnogekSQMW1GxGZFCLxRK
Mighty K.C.,For Squirrels,spotify:track:1abDkawNR5aFFw3gGTBkb8
Them Bones,Alice In Chains,spotify:track:4A065x9kJt955eGVqf813g
"Molly's Song 3, ""shades of crimson""",Rebecca Saunders,spotify:track:27PfLHFgNzeVJgdiECSrjr
Christian Says,Tones On Tail,spotify:track:2x0RecPsaukHtVu6Y4dHRQ
He Was Really Sayin' Somethin' - Single Version,The Velvelettes,spotify:track:7zw0jBh5Khn08DkDP93yyh
Alligator Bogaloo - Live,Lou Donaldson,spotify:track:3dqVux5eBVhi72AsQupGGV
Why (feat. Michael Jackson) - Duet with Michael Jackson,3T,spotify:track:0gfqiSFDDJSZnmJv1EUbRO
Feel the Pain,Dinosaur Jr.,spotify:track:28c4nfBHdb3xviamRCEsIe
Easy Street,Soul Asylum,spotify:track:7wvXLLoYgZVyfCpD4GeNwu
Who's That Guy,The Kolettes,spotify:track:3SgH2Bd8dGMTdaRbEfw0mc
Tequila,The Champs,spotify:track:5gJKsGij5oGt5H5RSFYXPa
Hello It's Me,Todd Rundgren,spotify:track:2ckXnzyvgva2oE9FWjb405
Break Dance-Electric Boogie,West Street Mob,spotify:track:2D3fdtjehGnog2NlW12nBx
Saturn 5,Inspiral Carpets,spotify:track:7fmwCGS5Sj9mceTWlCUJMA
6th Avenue Heartache,The Wallflowers,spotify:track:1qEyqHR1xsj2MC4Qy0dsaI
Banana Juice,The Mar-Keys,spotify:track:1fds0qJNxftzSnj32mhBrj
Upa Neguinho,Duke Pearson,spotify:track:1K1Q4rhWUY655HJ9Iqfw60
You Cause Me to Wonder,Don Bryant,spotify:track:3jXBMYtQk1iitMAfz2VKmP
Tearin' up My Heart - Radio Edit,*NSYNC,spotify:track:73q3FpQVXWk5eSUnyo83E4
"Oh, What A Night",The Dells,spotify:track:2ht21Rlf8L6cPLBkYmhpcs
Come On And Do The Shake With Me,Hasil Adkins,spotify:track:5GlKPn7kD4aJcRzCwHa5Rp
Zor and Zam - TV Version,The Monkees,spotify:track:09JTtTUWazEOEeKyBPtsZn
Let Her Dance,The Bobby Fuller Four,spotify:track:1d2GrPJtJXKUpW6K9OhF5x
Not Guilty - Anthology 3 Version,The Beatles,spotify:track:39QrPQjBJKKw3KPy6sUrCM
Cowboys In Africa,Bush Tetras,spotify:track:3q9Yn14sb1renGgM9sRQFm
Head Like a Hole - Soil,Nine Inch Nails,spotify:track:2uQdXUm6VfFryzj7bj9eAS
No Time Like The Right Time,The Blues Project,spotify:track:7Ai4qIKyxcBCcKAz4AtGxo
"Turn, Turn, Turn",Pete Seeger,spotify:track:5HJBRfHedPIiSOb17lkRQr
El Farol,Santana,spotify:track:1u0ZfkVGEM8dQ1vMcLXu1K
Unwind Yourself,Marva Whitney,spotify:track:2cmSJ67jjfj2S0qd28PmzN
"In My House - 12"" Version",Mary Jane Girls,spotify:track:4e2iHnjbGzQ6ltPRiJXYI3
Money Don't Matter 2 Night,Prince,spotify:track:4TD2ZZETSh7OFOw1RTNPGb
Rape Me,Nirvana,spotify:track:3R7tzaJr0HWIUMmOkg4rN0
Home,Deep Blue Something,spotify:track:7zgaCNXiN8F1JPlFXtEffv
Narcolepsy,Third Eye Blind,spotify:track:0DxirjMd0sE5C1annYHtt7
Blank generation,The Heartbreakers,spotify:track:2hTRS1prVDz46h4FHG9aLh
Robots Dance - New Version,Classix Nouveaux,spotify:track:3MPD4Wi23U9pT1TxvvJq8L
Kidding On The Square,Tsunami,spotify:track:6hYbgkKB6JkJZ0y1tudEIR
Gatinha Manhosa,Erasmo Carlos,spotify:track:2yxkFrtoVuYU58Fya583hI
Daughter,Pearl Jam,spotify:track:1N6ufONdqo8Lltpq7F4tcz
Lucky,Bif Naked,spotify:track:76ZeSKJ7ekxZzOgqszwnA4
Too Late To Turn Back Now,Cornelius Brothers & Sister Rose,spotify:track:2OyaNAq8BcGstyzueloqpE
Muchachita,Miguel Gallardo,spotify:track:3PyTaC8BN0de4KfYaQDtBs
ÃÂÃÂnema,TOOL,spotify:track:0nLOl4fSiBZKGFla5pLUtf
Mo Money Mo Problems (feat. Mase & Puff Daddy),The Notorious B.I.G.,spotify:track:3kG2YgxjYnnPBlo7H08Xt3
A Serious Of Snakes,Wire,spotify:track:0Rlu3L7ucT3HatJcKwfWQs
Too Hot To Stop (Part One),The Bar-Kays,spotify:track:1pZlO1V8RgQFHUKDLOPguT
I Feel Like Dynamite,King Floyd,spotify:track:71DQfBQCvo9ABszBfosPhy
It's My Thing (You Can't Tell Me Who To Sock It To),Marva Whitney,spotify:track:4svQ1clOSvlI7pz0yF7p02
Deep Sleep - Party Mix Abum Version,The B-52's,spotify:track:0cXwsAON9Agrepab4ixvLz
One Out Of Four,Seaweed,spotify:track:05jASuZRTyNnjjugE4PatS
State of Love and Trust,Pearl Jam,spotify:track:0KEhlgtlk0HuqBIqfGCGdF
Disco 2000,Pulp,spotify:track:2aC8wwfrM0YeTAzzk8hxqC
Do You Want to Know a Secret?,Billy J. Kramer,spotify:track:1Soa6kimbhHpUhKNXAAE6P
Cooling Card,Jawbox,spotify:track:1Rvx7RYBKeaDIXlNMV7kcL
Hey Paula - Single Version,Paul & Paula,spotify:track:6MpCxTJNdkHIpvQRuID8zU
Funky Bebop,Vin Zee,spotify:track:7jx7KqHWdLpTobe2mUlwAH
Inch By Inch,The Strikers,spotify:track:2sBX9e6y1rIkLvVyvP7Hlx
Incomplete,Sisqo,spotify:track:3w8Mw9GHYepoTWOSdiyosj
PU55YFOOT1N',Brainiac,spotify:track:62G3lblyETzW4zSO8cotat
Diving For Pearls,1000 Mexicans,spotify:track:0NlembBP4LCwey1hHUOq1S
I Believe I Can Fly,R. Kelly,spotify:track:3PCXLtid4Y3BGdCBW0pDEG
"Shake, Rattle And Roll - Single Version",Bill Haley & His Comets,spotify:track:2JoXjemDQe0fSmk26CpfrP
Cum on Feel the Noize,Quiet Riot,spotify:track:6FBmHx1FuaSnTnnnaThgbF
Roses,Silverchair,spotify:track:1gdt6xMCR2yUtZvNufQ973
Superstition - Single Version,Stevie Wonder,spotify:track:5lXcSvHRVjQJ3LB2rLKQog
Some Girls,Racey,spotify:track:4areksgU8Nn6bf0kIAY8q0
Kobaia,Magma,spotify:track:4yeDkuer7BbZe49T2m2wrS
Halcyon and On and On,Orbital,spotify:track:6l0LbTF2V77M3LPpcOBmqX
Why Don't You Do Right,Della Reese,spotify:track:2P9USWlZ56o9Aq0KPZgKY5
Ecstasy,Rusted Root,spotify:track:5V54hLsu5prUN9ThbwQFQ5
What You Won't Do for Love,Bobby Caldwell,spotify:track:7dL8FCLzEaWC2A3qWQuz1q
Sight of You,Pale Saints,spotify:track:2XMwak0QKaukNo502mcufY
Blue (Da Ba Dee) - Radio Edit,Eiffel 65,spotify:track:2aPbkXxYRTQ1cQrscHswuM
Ahead,Wire,spotify:track:2uiUhlBXzPTc1WA1Rcr3yy
"Promises, Promises",Naked Eyes,spotify:track:0SjL1Dzmi09shiQ7RAFz4X
Big City,Merle Haggard,spotify:track:4BNuX53RTmoClp7NCtYI3W
"Nigga What, Nigga Who (Originator 99)",JAY-Z,spotify:track:5MnXRG5LzgSzdpIkg5nagT
Someday,Sugar Ray,spotify:track:6zeDYmP3ARpURvpK29Q09P
That One,Guzzard,spotify:track:5FDdBjFB6G7tRlNvAhheUo
Shot in the Night,Paul Parker,spotify:track:1b3kI206wj4EvGLSOdVCQ7
Choir Practice,Lipps Inc.,spotify:track:59qnrsqtPt8vbhnDE00toq
900 Million People Daily,The Seeds,spotify:track:71AgID3vVKBnQZ20lHIO2W
BÃÂÃÂ¼ck dich,Rammstein,spotify:track:4nmEFKvwVwTXAn5N2F12oj
Big Empty,Stone Temple Pilots,spotify:track:6KMcSyOugm81pXeJqceBqc
Gammer Gerten's Needle,Deep Blue Something,spotify:track:6fPOMDQjhpriegRiBpTNK7
Weird-Out,Dandelion,spotify:track:7uINX1W3aEJprEDilIOaFb
The Prettiest Girl In The Wolrd,Television Personalities,spotify:track:32Pfp5HrfLlf65FeXYAuFp
I Couldn't Care Less,The Untamed Youth,spotify:track:18NQvzHL64KbzTaCfWw6n4
Happiness,Grant Lee Buffalo,spotify:track:5VMPRltlhIfbx4uwDCiBaD
As,Gene Harris,spotify:track:1FM8YPPZ4Zc2qdehXkxOtc
Remember the Time,Michael Jackson,spotify:track:4jnFqNWeJCeCRHc4HCdxfd
Everything I Do Gonna Be Funky (From Now On),Lou Donaldson,spotify:track:7KhvPQRbPGjBZk5YBaVOQw
Bend to Squares,Death Cab for Cutie,spotify:track:0trMLpdfwrHOQGkexJbcT6
Wild Horses,The Sundays,spotify:track:418gyIJdAZSZisVdzDXLNc
Marijuana,The Reverend Horton Heat,spotify:track:61bdPPJFoRLK4zrmOALWdh
Not a Lot to Save,Gruntruck,spotify:track:7sBSZWvxM82roWPHflEHoQ
One Headlight,The Wallflowers,spotify:track:0z1b34WikhOH9ZxU8QDWcv
I'm into Something Good,Herman's Hermits,spotify:track:3oPiOllzIveMTKJfnXg8fc
Don't Speak,No Doubt,spotify:track:6urCAbunOQI4bLhmGpX7iS
"Stop and Go - 7"" Edit",David Grant,spotify:track:5VR1mQyPnbjKj6pAuIFacP
Money City Maniacs,Sloan,spotify:track:0B6Xcr7eu0nsGOiXuLI5NH
"Too Young to Die - 12"" Version",Jamiroquai,spotify:track:5njYZbR81SVCYP6GYHVAzG
I Wanna Be Your Joey Ramone,Sleater-Kinney,spotify:track:1NVq4MTXJVqJ1Dw7LJ6KD4
Soft Serve,Soul Coughing,spotify:track:06l32PyLugH1lEqEEnatfR
My Mind's Made Up - Vocal,Ambassadors of Funk,spotify:track:3H82PZNNrZ1coMAz6p0U2l
C.R.E.A.M.,Wu-Tang Clan,spotify:track:119c93MHjrDLJTApCVGpvx
Linoleum,NOFX,spotify:track:4uB28m7RAflobYpnLMb6A2
Somebody in the World for You,The Mighty Hannibal,spotify:track:7Fvyh0w9vNzJt9KUeBzfqc
Restless,Johnny Kidd & The Pirates,spotify:track:1bgxemnpWzbubZIxNVq798
Get Busy - Lidell Townsell Mix,Mr. Lee,spotify:track:1VJzm6JlQh55fh1csQdD0L
That's When the Tears Start - Single Version,The Blossoms,spotify:track:0RmWSYMgquPpIMgYnwx2c0
Among My Souvenirs,Connie Francis,spotify:track:0RTkpGULCWBGHFbJptu3RQ
Merry Go Round,The Monkees,spotify:track:6csR536Iz4FjRgN4SAtySf
Gee Angel,Sugar,spotify:track:1SLhni7wZ6uZkiSjp6KAEE
Nebraska Bricks,Saves The Day,spotify:track:5G9FOGlFr32VLAtkUzZsDX
This Could Be The Start Of Something,Grant Green,spotify:track:06DqS8SH9HnEq9RCVpcwU2
Beale Street Blues,Eartha Kitt,spotify:track:2Q1D7CLJqmhbYtjGoAABOW
Give It to Me (If You Don't Mind),Conquest,spotify:track:3E6rKOZoThxYcypYW6XnKm
If I Never Knew You,Jon Secada,spotify:track:5cFqppEEaSW7zHnX3qk2ku
At Long Last Love,Grant Green,spotify:track:6LjYAUjiCnkX2h0gGtJA3K
If You Want Me to Stay,Etta James,spotify:track:3ux4SABKVVgyXzB0A4D2zQ
Call It Love (Extended Mix),Images In Vogue,spotify:track:1sxmPr6g3V8fWcdcgQ9qKS
In the Dark,Nina Simone,spotify:track:1duulOGOcetGKpQf7aeCah
Ka Jeg NÃÂÃÂ¥ Dig,Bifrost,spotify:track:7IQ5TuTAGC8gIHXbHhyzl4
Through The Never,Metallica,spotify:track:0K8hmlY7fVZLRp3R1JnWLT
Champion Nines,Unrest,spotify:track:3MN6dAHM3LDSDc5fFqz8XP
Outside In The Rain - Remix,Gwen Guthrie,spotify:track:7IrMIHxqOAhrVfZK4gzSQa
Oleo - Alternate Take,Grant Green,spotify:track:1Qoc2Y6iG6Lgo559FvpT3Q
Gorgeous,Gene Loves Jezebel,spotify:track:3VD0m1XWj02RDNzBGJzavx
Whippin' Piccadilly,Gomez,spotify:track:3YeoPH0tOthe65p5zPlJqg
Dublin Blues,Guy Clark,spotify:track:6zXgU7iiGEEKp9f0pJHJUn
A Morning Odyssey,The Sea Urchins,spotify:track:4LRVfQGGFA7bPzEgRwDLnv
Speedy Gonzales,Pat Boone,spotify:track:6rBb7xcuswLyZ1Aco8kG8v
Don't Damn Me,Guns N' Roses,spotify:track:4BZdQn690mETPLKmNDhbGi
Stone the Crow,DOWN,spotify:track:7DuRbuweGD2cpGN74cpPAF
The Dreamer,Neil Sedaka,spotify:track:0hd4SBV5W859fFcWB4r9Ne
The Sparrows And The Nightingales,Wolfsheim,spotify:track:6vn9xanSr1R8r4NlWEFlUu
Somebody to Love,Jefferson Airplane,spotify:track:5q3qYTQHiWceu6zZNZR01I
The Laundry,The Lilac Time,spotify:track:35wHk7HJqp2JlZzpLtfoKd
Papa Was A Rollin' Stone,The Temptations,spotify:track:6MwEqdLoCslkioiDnY6uV6
Medicine,Orbit,spotify:track:2M8WHGQ5l1xYSMOBIzbgxa
Gas Money,The Rip Chords,spotify:track:7AhkAjhp1zgdJWv7wVpNCl
Stop! Stop! Stop!,Graham Gouldman,spotify:track:3ZWnq6WttafitILeR6idSp
I Just Called To Say I Love You,Stevie Wonder,spotify:track:6RNDeRnWsRMjPdNVgupZCs
The Popcorn,James Brown,spotify:track:4XPuSSXSwvdK079ZFf5HVs
"Diamonds, Fur Coat, Champagne",Suicide,spotify:track:18npeTqIYdYU9At29c1VMJ
We'll Be Back in a Moment,The Monkees,spotify:track:2p7VIgt1apfOS2CtrvVhTu
Airplane Rider,Air Miami,spotify:track:0utiGqPkLRWIKLdllrHkDH
So Do I,Kenny Ball,spotify:track:4SJCft2EEBb6HK3IxuMPQM
I Got The Feeling - Dance Mix,Two Tons Of Fun,spotify:track:3QzHdlAGflJyCCnZPm5yiD
Thunder Express,MC5,spotify:track:4bk26MwJqqc8xLyepv8jXR
All Night Dancing,Lipps Inc.,spotify:track:7JoQNca1poCUQQAmuLSwO2
Time Bomb,Rancid,spotify:track:5kxxhOkxd7j57e7oL121gI
First Cool Hive,Moby,spotify:track:2nJKZYsbwMUVGWarhXA8wo
Talking With Myself,Electribe 101,spotify:track:2OKwqQZe84gj37VMYRUD7E
Up From The Skies,Demented Are Go,spotify:track:6AnuvGwuxLbzK4oAIj6iI0
The Poacher,Ronnie Lane & Slim Chance,spotify:track:0bYKivG4cTL6BbwUjdhSSH
All Mine,Portishead,spotify:track:785Qya5mtMUwBQtuypVqrx
Breakout,Foo Fighters,spotify:track:2kh0u2d2YKQ7BCqeLPdHk6
Long Way Down,The Goo Goo Dolls,spotify:track:1J307YEKcn9pH7QT5fXTLt
You Could Be Mine,Guns N' Roses,spotify:track:09PTdECef2Uxix7ma0HCxs
Dune Buggy,The Presidents Of The United States Of America,spotify:track:7bCKBqdYJI8fvFH48sT2IN
Life Styles,The Blackbyrds,spotify:track:4eOgdSrDZlIpfw3WuuclT7
"Love Shack - 12"" Remix",The B-52's,spotify:track:5jSuplaGdY7DSZc7rrnIDL
Ecstasy,Madleen Kane,spotify:track:0ZPYbtBHIXDMX18ODGTTDu
Willy Nilly,Rufus Thomas,spotify:track:7cK3Y0AiHpiXLTKJkPgtNR
Apparitions,Matthew Good Band,spotify:track:7CosFlbml7Rhw7t4FrSkdz
Sittin' Up In My Room,Brandy,spotify:track:4330XmgVWlx98Y3Naswycg
Ramblin' Rose,MC5,spotify:track:2dQ5GfyCeC56aBWnKU1Qgz
Everlong,Foo Fighters,spotify:track:5UWwZ5lm5PKu6eKsHAGxOk
It's A Pleasure,Sheree Brown,spotify:track:7xneyw0Gk7iRErb4yWQyL9
Stone Cold Yesterday,The Connells,spotify:track:56WXMq4aLSWMCTnQawOJ8I
Heat Lightnin' - LP Verson,Tuscadero,spotify:track:0CJXFnXAqUxjTTgXrQ3LVa
Rooster,Alice In Chains,spotify:track:0wvIGFIgbyz4JNwQhZgTv2
Straighten Up And Fly Right,Nat King Cole,spotify:track:3vXRZhHnVB3Z5scbRgH1ah
Straight Up And Down,The Brian Jonestown Massacre,spotify:track:3laqgmy8f1rG1UN65r0xQW
Silly Wasn't I,Cilla Black,spotify:track:0UxfLmyea1fjoUdH1N1sQx
Between the Hammer & the Anvil,Judas Priest,spotify:track:3DfE7Ysl7H40yDbGFSuzPU
You Don't Know,Helen Shapiro,spotify:track:7whWyCFOIKTCDmwx3wtLGo
Oh Tonight,The Del-Vikings,spotify:track:5cmNnxErpR2QAh8DNYOCXL
Baby Hold on to Me (feat. Eddie Levert),Gerald Levert & Eddie Levert,spotify:track:38V9quY32pQ1DPK5JRTs94
"You Used To Hold Me So Tight - Original 12"" Mix",Thelma Houston,spotify:track:6Ou5uQbgLN9oseTcDayK42
"What Was It You Wanted - Live at Madison Square Garden, New York, NY - October 1992",Willie Nelson,spotify:track:4IeAkgYTn7iGXbsPCkGU5r
What the Hell Have I,Alice In Chains,spotify:track:1wPhx62DRpvULqckrdWlIt
The Right Kind of Love,Jeremy Jordan,spotify:track:6WTwlLmhaq935X1jCq19wT
The Escapades Of Futura 2000,Futura 2000,spotify:track:0R7h0gRRBzibTX2bCndT8L
Angry Chair,Alice In Chains,spotify:track:5jCp5VtcpUlHtW8Dwlx13Y
My Country,Midnight Oil,spotify:track:20ecCpD2WTeW8dWWkloREa
Doin' My Time,Flamin' Groovies,spotify:track:3PZvPsEM4fqvecE7DyYttn
King Ink,The Birthday Party,spotify:track:7LO9JQQPqTSHh7gx3TyEz5
Painkiller,Judas Priest,spotify:track:59pBA1HUMol92PIIeJ0h9F
A Touch of Evil,Judas Priest,spotify:track:08hn5vq1XnVmVQI4mfzsXa
What Is This Thing Called Love?,Grant Green,spotify:track:21bKSKloPGSeTgCaF0XgOA
Drawer,Summercamp,spotify:track:3p7FzwlQ3kPpw6xrUwn3iQ
Tears On My Pillow,Little Anthony & The Imperials,spotify:track:2iRX4AaTdS6xsgVxUOnP4h
Papa Loves Mambo,Perry Como,spotify:track:5A4gzphhD7SyZZhQeda8Vv
The Government Administrator,Eggs,spotify:track:26pA4TepPUMVTjY4FOMA2T
Spirited Away - The Dragon Boy / The Bottomless Pit,Joe Hisaishi,spotify:track:02jNknvAjc2SXTOcnAa06E
Sucker for a Pretty Face - I'm Just a,West Phillips,spotify:track:1vGWnRrXlex3NL7Ai5a2s7
Spoonman,Soundgarden,spotify:track:5oowXVNXkPcfZHWy8fh1Nc
La mer,Charles Trenet,spotify:track:7sZSe99XSTu5KpYJEThvWr
Mr. Blue,The Fleetwoods,spotify:track:6bnFjTW3EnMG4BwreDnSHK
Twilight Time,The Platters,spotify:track:1tu5rCtK0jCLMeoWCYnttf
One Time For Me,The Reverend Horton Heat,spotify:track:1syqt5dXsK5iUfXDIJX5oJ
Blood Of Heroes,Megadeth,spotify:track:4fPVJz7EYTqCqgXxLjQrSn
French Kiss - The Original Underground Mix,Lil' Louis,spotify:track:7hnqJYCKZFW7vMoykaraZG
Sister Act - I Will Follow Him,Little Peggy March,spotify:track:73eLxXx1vhX02U5uohaX2D
Alone,The Cry,spotify:track:0dYYnwpxDpsVOhzADa2JKi
Don't Give It Up Now,Lyres,spotify:track:4Pey0ilsej6MgObBooTWRh
That Don't Impress Me Much,Shania Twain,spotify:track:0KvLsZYwodakWxOQUYAR5I
De-Luxe,Lush,spotify:track:2RylQ7K1o5yOg2SWHwD4CG
Rollin' Rock,The Tielman Brothers,spotify:track:1Z7p1dSJx0iAOieAG5DgYz
You've Got Your Troubles,The Fortunes,spotify:track:2wytOmDDDFAOYOnbDk0TH5
One Man Woman,Barbara Lynn,spotify:track:78VmLqJtUMfAeBDFWeK9F0
Time for Action,Secret Affair,spotify:track:5A0bQ9QTWbU0qOl6vrFZXB
Got The Time,Anthrax,spotify:track:62rSF7anVnDAmc9Vnmb7cH
La Noche,Adamo,spotify:track:1fE6x8upbY9AeVN3UvPkxC
Toes Across The Floor,Blind Melon,spotify:track:3NfLSMOVWDKfYDE0WAm7uf
Let's Dance (Make Your Body Move),West Street Mob,spotify:track:3BuIjV42Tsc3o3n2jp4S0Y
Fast And Frightening,L7,spotify:track:7uBXMQTKxqV0Hj1chgZ16i
I Thought I Knew It All,Megadeth,spotify:track:2GKvYk3zl0011ZhbuhdnYv
Grease Box,Tad,spotify:track:1OCDCVzQVxVm2HceeEJTzm
Hot Hot Hot!!! - Extended Mix,The Cure,spotify:track:3VTV4DViAcMC9yZcpCGpk7
