Have Mercy Baby,The Bobbettes
Come Back Baby,Roddie Joy
Girls It Ain't Easy,The Honey Cone
From A Window,Billy J. Kramer With The Dakotas
Beautiful Obsession,Sir Chauncey and his exciting strings
"We Love You, Call Collect",Art Linkletter
Sandy,Ronny And The Daytonas
You're The One,The Vogues
The First Night Of The Full Moon,Jack Jones
For You,Rick Nelson
I'm So Lonesome I Could Cry,B.J. Thomas And The Triumphs
Endless Sleep,Hank Williams Jr.
Get Out Now,Tommy James And The Shondells
Secret Of Love,Elton Anderson With Sid Lawrence Combo
Shop Around,"The Miracles (featuring Bill ""Smokey"" Robinson)"
Return To Sender,Elvis Presley With The Jordanaires
"Theme From ""Hatari!""",Henry Mancini And His Orchestra
Ode To Billy Joe,Ray Bryant
Heart Breaker,Dean Christie
What Am I Going To Do Without Your Love,Martha & The Vandellas
Funky North Philly,Bill Cosby
The Exodus Song (This Land Is Mine),Pat Boone
Don't Ever Leave Me,Bob And Earl
There's A Chance We Can Make It,Blues Magoos
Many A Wonderful Moment,Rosemary Clooney
Out Of Sight,James Brown And His Orchestra
Ju Ju Hand,Sam The Sham and the Pharaohs
B'wa Nina (Pretty Girl),The Tokens
Dawn (Go Away),The 4 Seasons
Slum Baby,Booker T. & The MG's
(You Don't Have To) Paint Me A Picture,Gary Lewis And The Playboys
Shape Of Things To Come,Max Frost And The Troopers
I Found A Love Oh What A Love,Jo Ann & Troy
Soon (I'll Be Home Again),The 4 Seasons Featuring Frankie Valli
Shake A Hand,Jackie Wilson & Linda Hopkins
Somebody Cares,Tommy James And The Shondells
Blind Man,Bobby Bland
Young World,Rick Nelson
Teenage Cleopatra,Tracey Dey
The Sundowners,Billy Vaughn And His Orchestra
Teen Age Idol,Rick Nelson
Don't Make My Baby Blue,Frankie Laine
"Woman, Woman",The Union Gap Featuring Gary Puckett
I'll Be There,Gerry And The Pacemakers
Caterina,Perry Como
I'll Be There,Bobby Darin
Here's To You,Hamilton Camp
Red Hot,Sam The Sham and the Pharaohs
Sweet Impossible You,Brenda Lee
Reach Out Of The Darkness,Friend And Lover
"Que Sera, Sera (Whatever Will Be, Will Be)",The High Keyes
"The 2,000 Pound Bee (Part 2)",The Ventures
Stranded In The Middle Of Noplace,The Righteous Brothers
Only You (And You Alone),Mr. Acker Bilk
Talking About My Baby,Gloria Walker
Try Me,James Brown At The Organ
A Little Less Conversation,Elvis Presley With The Jordanaires
Knucklehead,Bar-Kays
Tell Me Baby,Garnet Mimms
From The Teacher To The Preacher,Gene Chandler & Barbara Acklin
Does Your Chewing Gum Lose It's Flavor (On The Bedpost Over Night),Lonnie Donegan And His Skiffle Group
Love Is The Sweetest Thing,Saverio Saridis
Mirage,Tommy James And The Shondells
Alvin's Harmonica,David Seville And The Chipmunks
Ronnie,"The 4 Seasons Featuring the ""Sound of Frankie Valli"""
Leaving On A Jet Plane,"Peter, Paul & Mary"
Where Is The Party,Helena Ferguson
Lonely Street,Clarence Henry
Let's Go Trippin',Dick Dale and The Del-Tones
Lonely Summer,The Shades Of Blue
Won't Be Long,Aretha Franklin With The Ray Bryant Combo
Amy,Paul Petersen
A Mess Of Blues,Elvis Presley With The Jordanaires
Have You Ever Been Lonely (Have You Ever Been Blue),The Caravelles
Getting The Corners,The T.S.U. Toronadoes
Bad To Me,Billy J. Kramer With The Dakotas
Let Me,Paul Revere & The Raiders Featuring Mark Lindsay
Sole Sole Sole,Siw Malmkvist-Umberto Marcato
Paper Sun,Traffic featuring Stevie Winwood
Kum Ba Yah,Tommy Leonetti
Groovy Grubworm,Harlow Wilcox and the Oakies
If This World Were Mine,Marvin Gaye & Tammi Terrell
Hardhearted Hannah,Ray Charles
Laudy Miss Claudy,The Buckinghams
Will Power,The Cookies
"Let's Go, Let's Go, Let's Go",Hank Ballard And The Midnighters
Charade,Sammy Kaye And His Orchestra
First Quarrel,Paul and Paula
Off To Dublin In The Green,The Abbey Tavern Singers
Because They're Young,Duane Eddy And The Rebels
Dead End Street Monologue/Dead End Street,Lou Rawls
Lizzie Borden,The Chad Mitchell Trio
On Bended Knees,Clarence Henry
Storybook Children,Billy Vera & Judy Clay
Send My Baby Back,Freddie Hughes
The Cruel War,"Peter, Paul & Mary"
Tonight's The Night,The Chiffons
Baby's Gone,Gene Thomas
I Don't Know What You've Got But It's Got Me - Part I,Little Richard
Sam's Place,Buck Owens and The Buckaroos
Blowin' In The Wind,"Peter, Paul & Mary"
Uh! Oh! Part 2,The Nutty Squirrels
Unchain My Heart,Herbie Mann
Mother Popcorn (You Got To Have A Mother For Me) Part 1,James Brown
Somebody Else Is Taking My Place,Al Martino
Hawaii Honeymoon,The Waikikis
Everyday With You Girl,Classics IV Featuring Dennis Yost
The Ten Commandments Of Love,Little Anthony And The Imperials
Dreams Of The Everyday Housewife,Wayne Newton
Back In The U.S.S.R.,Chubby Checker
Village Of Love,Nathaniel Mayer And The Fabulous Twilights
Mr. Happiness,Johnny Maestro with The Coeds
Keep On Lovin' Me Honey,Marvin Gaye & Tammi Terrell
You Were Made For Me,Freddie And The Dreamers
Let's Call It A Day Girl,The Razor's Edge
Do The Freddie,Freddie And The Dreamers
Hungry For Love,San Remo Golden Strings
Keep Your Love Locked (Deep In Your Heart),Paul Petersen
It's Getting Better,Mama Cass
(Such An) Easy Question,Elvis Presley With The Jordanaires
Laugh,The Velvets featuring Virgil Johnson
I Love You So,Bobbi Martin
Way Down Yonder In New Orleans,Freddie Cannon
The Impossible Happened,Little Peggy March
It Should Have Been Me,Gladys Knight And The Pips
Look At Me Girl,Bobby Vee And The Strangers
Young Lovers,Paul and Paula
When Julie Comes Around,The Cuff Links
Up From The Skies,The Jimi Hendrix Experience
Young Boy,Barbara Greene
Lady Willpower,Gary Puckett And The Union Gap
Show Time,Detroit Emeralds
Don't Take Your Love From Me,Gloria Lynne
Rainbow Ride,Andy Kim
A Voice In The Choir,Al Martino
Love Is All I Have To Give,"The Checkmates, Ltd."
Just Like Me,Paul Revere & The Raiders Featuring Mark Lindsay
Anything That's Part Of You,Elvis Presley With The Jordanaires
It Takes Two,Marvin Gaye & Kim Weston
Just Out Of Reach (Of My Two Open Arms),Solomon Burke
China Nights (Shina No Yoru),Kyu Sakamoto
I'm Telling You Now,Freddie And The Dreamers
Kick That Little Foot Sally Ann,Round Robin
96 Tears,? (Question Mark) & The Mysterians
Be My Girl,The Four-Evers
Jamaica Ska,The Ska Kings
The End Of Our Road,Gladys Knight And The Pips
Wild In The Country,Elvis Presley With The Jordanaires
I Lost My Baby,Joey Dee
"Baby, Don't You Cry (The New Swingova Rhythm)",Ray Charles and his Orchestra
Rockin' Crickets,Rockin' Rebels
It's Crazy,Eddie Harris
Funny Little Butterflies,Patty Duke
Congratulations,Rick Nelson
A Banda (Ah Bahn-da),Herb Alpert & The Tijuana Brass
Born To Be Together,The Ronettes Featuring Veronica
Tell It On The Mountain,"Peter, Paul & Mary"
Thou Shalt Not Steal,Dick and DeeDee
Playboy,Gene And Debbe
Reach Out For Me,Lou Johnson
Rambling,The Ramblers
Mighty Quinn (Quinn The Eskimo),Manfred Mann
Dutchman's Gold,Walter Brennan With Billy Vaughn and his Orchestra
Color My World,Petula Clark
For Lovin' Me,"Peter, Paul & Mary"
Happy Weekend,"Dave ""Baby"" Cortez"
Me And My Shadow,Frank Sinatra & Sammy Davis Jr.
For Love,Lloyd Price and His Orchestra
My Daddy Is President,Little Jo Ann
My Coloring Book,Sandy Stewart
That's My Desire,Yvonne Baker and the Sensations
Slow Twistin',Chubby Checker (with Dee Dee Sharp)
I've Got A Woman (Part I),Jimmy McGriff
Al-Di-La,The Ray Charles Singers
Blue Tomorrow,Billy Vaughn And His Orchestra
A Tear Fell,Ray Charles
Baby Be Mine,The Jelly Beans
Little Eeefin Annie,Joe Perkins
Girl On A Swing,Gerry And The Pacemakers
A Letter To Dad,Every Father's Teenage Son
Danke Schoen,Wayne Newton And The Newton Brothers
Here Comes That Feelin',Brenda Lee
Have Mercy Baby,James Brown And The Famous Flames
Can't Help Falling In Love,Elvis Presley With The Jordanaires
Down On Me,Big Brother And The Holding Company
Fools Rush In (Where Angels Fear To Tread),Brook Benton
Late Date,The Parkays
Give A Damn,Spanky And Our Gang
"Listen, They're Playing My Song",Ray Charles
Slipin' And Slidin',Jim and Monica
Everybody Do The Sloopy,Johnny Thunder
Goody Goody Gumdrops,1910 Fruitgum Co.
Like To Get To Know You,Spanky And Our Gang
Surrender,Elvis Presley With The Jordanaires
In The Heat Of The Night,Ray Charles
Jambalaya,Bobby Comstock And The Counts
Eleanor Rigby,Ray Charles
Tra La La La Suzy,Dean And Jean
Girl Come Running,"The 4 Seasons Featuring the ""Sound of Frankie Valli"""
A Wonder Like You,Rick Nelson
Everybody Needs Love,Gladys Knight And The Pips
Tenderly,Bert Kaempfert And His Orchestra
Shake,Shadows Of Knight
Finger Poppin' Time,Hank Ballard And The Midnighters
Release Me,"Esther Phillips ""Little Esther"""
Milk Cow Blues,Ricky Nelson
Red Sails In The Sunset,The Platters Featuring Tony Williams
Monkey-Shine,Bill Black's Combo
Walking Proud,Steve Lawrence
Hello Hello,"The Sopwith ""Camel"""
Gotta Lotta Love,Steve Alaimo
I Pity The Fool,Bobby Bland
A Kookie Little Paradise,Jo Ann Campbell
While You're Out Looking For Sugar?,The Honey Cone
Don't Set Me Free,Ray Charles and his Orchestra
Somebody New,Chuck Jackson
Organ Shout,"Dave ""Baby"" Cortez"
Inky Dinky Spider (The Spider Song),The Kids Next Door
Come Back When You Grow Up,Bobby Vee And The Strangers
Will You Love Me Tomorrow,"The 4 Seasons Featuring the ""Sound of Frankie Valli"""
"Love Is Me, Love Is You",Connie Francis
Tears On My Pillow,The McGuire Sisters
My Boyfriend Got A Beatle Haircut,Donna Lynn
Love Is Blue (L'Amour Est Bleu),Claudine Longet
Dry Your Eyes,Brenda & The Tabulations
Hearts,Jackie Wilson
You Gave Me Something (And Everything's Alright),Fantastic Four
Rock 'N' Roll Woman,The Buffalo Springfield
Nowhere To Run,Martha & The Vandellas
He's So Heavenly,Brenda Lee
If This Is Love (I'd Rather Be Lonely),The Precisions
Love You So Much,New Colony Six
Anyway That You Want Me,The American Breed
Let Yourself Go,Elvis Presley With The Jordanaires
"Signed, Sealed And Delivered",Rusty Draper
Midnight Lace,Ray Ellis
Castles In The Sand,Little Stevie Wonder
Goodbye Baby (I Don't Want To See You Cry),Tommy Boyce & Bobby Hart
Get It Together (Part 1),James Brown And The Famous Flames
My Heart Cries For You,Ray Charles
What Color (Is A Man),Bobby Vinton
Day Tripper,The Vontastics
Hot Rod Lincoln,Charlie Ryan and the Timberline Riders
It's Too Late,Wilson Pickett
Spinout,Elvis Presley With The Jordanaires
In The Midnight Hour,The Mirettes
Break Out,Mitch Ryder And The Detroit Wheels
La Montana (If She Should Come To You),Frank DeVol And His Rainbow Strings
These Foolish Things,James Brown And The Famous Flames
Lili Marlene,Al Martino
Stormy,Classics IV Featuring Dennis Yost
Drip Drop,Dion Di Muci
Comin' Home Baby,Mel Torme
Bongo Stomp,Little Joey And The Flips
Up On The Roof,The Cryan' Shames
Hold On I'm Coming,Chuck Jackson & Maxine Brown
Hurt,Little Anthony And The Imperials
Lonely Drifter,Pieces Of Eight
Hot Shot,The Buena Vistas
At The Club,Ray Charles and his Orchestra
Gone With The Wind,The Duprees featuring Joey Vann
Anna (Go To Him),Arthur Alexander
Believe Me,Royal Teens
I'll Make You Mine,Bobby Vee With The Eligibles
I Don't Like It Like That,The Bobbettes
I Wanna Be (Your Everything),The Manhattans
Who's Lovin' You,Brenda & The Tabulations
The French Song,Lucille Starr
Too Much Talk,Paul Revere & The Raiders Featuring Mark Lindsay
The Peppermint Twist,Danny Peppermint and the Jumping Jacks
I'll Take Care Of Your Cares,Frankie Laine
The Brigade Of Broken Hearts,Paul Evans
Can't Get Over (The Bossa Nova),Eydie Gorme
Apple Of My Eye,Roy Head And The Traits
You'll Never Walk Alone,The Brooklyn Bridge
Don't Forget I Still Love You,Bobbi Martin
Pony Time,The Goodtimers
Cindy's Gonna Cry,Johnny Crawford
I'll Try Something New,Supremes & Temptations
Up A Lazy River,Si Zentner And His Orchestra
Yield Not To Temptation,Bobby Bland
O Dio Mio,Annette
The Horse,Cliff Nobles & Co.
That Boy John,The Raindrops
It's Been A Long Time,Betty Everett
Fly Me To The Moon - Bossa Nova,Joe Harnell And His Orchestra
Father Knows Best,The Radiants
"Two Thousand, Two Hundred, Twenty-Three Miles",Patti Page
Friendship Train,Gladys Knight And The Pips
Keep On Dancing,Hank Ballard And The Midnighters
Where Have You Been (All My Life),Arthur Alexander
Cry Cry Cry,Bobby Bland
Cinderella,Jack Ross
Stormy Monday Blues,Bobby Bland
