Skylines and Turnstiles,My Chemical Romance,spotify:track:3VqJUdav5hRAEAvppYIVnT
Soak,Rachel Farris,spotify:track:1Lm0tGXvfDELHTTLyBKyNq
The Return of the Son of Nothing,Tiamat,spotify:track:6qqWdgkAsIc5wlNslrwFTy
Global warming,Gojira,spotify:track:5HG05ThGEDG0v5FfKqGPuI
B.B.D. (I Thought It Was Me)?,Bell Biv DeVoe,spotify:track:4JvacMyrylsX8C281ZQ3m9
Synthetic,Spineshank,spotify:track:7eAnF0Yr5MsC3Y2JOxBaY5
January,Bonnie McKee,spotify:track:4Vc6f3K8mXoMwZDICJPPAw
Wormwood,Callisto,spotify:track:6vpIVeyOHnKsedlxfd5a47
You! Me! Dancing!,Los Campesinos!,spotify:track:5xNFbAiYGZsesA6pQmfjZa
In the End,Linkin Park,spotify:track:60a0Rd6pjrkxjPbaKzXjfq
Internal demons,Deals Death,spotify:track:3jeZJHJH30WQGmVFxVVEkz
My Demise,Shadows Fall,spotify:track:41me2CJRzBnse4dCrdRAh3
He Doesn't Know Why,Fleet Foxes,spotify:track:4FlNj8oEuikVspfVWzMZVz
I'll Be Down For You,Paula DeAnda,spotify:track:3R0tRQxRIZQtA9hE9a6wKc
Ignorance,Paramore,spotify:track:5ZdrNnYV5VZWds4WXKf8kf
Suffocated,Ghost Brigade,spotify:track:4A8IBRI0mAZIMfe4ivr17R
Ghosting,Mother Mother,spotify:track:6405hOm4Nxfxzm2wxXw2BU
Calling All Skeletons,Alkaline Trio,spotify:track:2xflZxzZglFUsaV7h6w4nL
Stupid Little Love Song,Fefe Dobson,spotify:track:22lMSHEXQ5zFNDWYkUm2ET
Must Have Done Something Right,Relient K,spotify:track:4M6pI3JTQ7Fcavu4MytcL6
The Lay Of Autumn,Insomnium,spotify:track:0DVLG3hfioPqmOKu5suYsm
Carry,ISIS,spotify:track:7fgrebvuX50sYEfBnHPpVf
Fader,The Temper Trap,spotify:track:0vNPJrUrBnMFdCs8b2MTNG
If It Means a Lot to You,A Day To Remember,spotify:track:6J7cSyvSCnPwv3vqHchEfL
Jasey Rae,All Time Low,spotify:track:4kulylefFdMugHJokWU9lc
IÃÂÃÂÃÂÃÂ´m Here,Aly & AJ,spotify:track:5T3YHI4SlE2KgrsytyCAhN
