Marriage Is For Old Folks,Nina Simone,spotify:track:4u09k6HNZvdAUHCJRoWIOA
Ten Cents A Dance,Anita O'Day,spotify:track:6uawJMhSxpHA7tvf6JjLZq
It's Not True - 2014 Stereo Mix,The Who,spotify:track:62iSnraTKszodZFRhCt6lx
"Hot Pastrami, Mashed Potatoes, Come On To Rincon - Yeah!!!",Bruce Johnston,spotify:track:7eUy5bc2FNAlPcehJJTVpV
You Really Got Me - Mono LP With Reverb,The Kinks,spotify:track:0SCmnrMDiBO9Z5tF1qzNgp
Rock Around The Clock,Bill Haley & His Comets,spotify:track:34AmZ4PMz9iNZVp9AMIGZj
Across The Great Divide - Remastered 2000,The Band,spotify:track:35Myb6spNkKlRsZQcm95mP
Baby Let's Play House,The Astronauts,spotify:track:1J9nwW2pkGn5ePKrpXorUr
The Yodel,Big John Patton,spotify:track:1noAQpvoCEoUw9LiTnWhuj
My Guy,Mary Wells,spotify:track:3WORyf3FVpYdVoHEgSEt1b
Telstar,The Tornados,spotify:track:2rtaHm5SkgFzVa5Gr8oTW6
Fire,Jimi Hendrix,spotify:track:5LI7PoHEolR8plrf3I16sq
Space Oddity - 2015 Remaster,David Bowie,spotify:track:72Z17vmmeQKAg8bptWvpVG
Sophisticated shake,Stelvio Cipriani,spotify:track:6iHVN5Kp1KWRtdCRkBSubf
Lucifer Sam - 2011 Remastered Version,Pink Floyd,spotify:track:2WGkeBfg0nDPSLAUJeDOfJ
"Porpoise Song (Theme from ""Head"")",The Monkees,spotify:track:02tiurLpJcKS0aFVsyvKz3
I Will Always Want You,Dusty Springfield,spotify:track:61Fs67uv5xCNbqDiDU05HU
Prelude - Nightmare,Arthur Brown,spotify:track:74f8k4sJdIRCQKuqv6AXG8
Little Happy-Go-Lucky Girl,Brenton Wood,spotify:track:7bWN11YgTrUZbpkb8iyN6c
"The ""In"" Crowd",The Mamas & The Papas,spotify:track:1Pq4rwx0XIgAs9Dbv9i6u6
('Til) I Kissed You,The Everly Brothers,spotify:track:2erTdgDOZmjJNaNhjhWXhJ
I'm Not Your Stepping Stone,Paul Revere & The Raiders,spotify:track:676Na0pPcHstYSMaJyarg7
I See the Rain,Marmalade,spotify:track:2BCVsvwkMxJ9LHLqolpXV4
If We Only Had The Time (From Shell Shock),The Turtles,spotify:track:3K03S09h2oJ3Xbh85gIb59
Rosalyn,The Pretty Things,spotify:track:2dBzLcwzdbhCkKJYUepZFF
"Baby, Now That I Found You",The Foundations,spotify:track:2gujyXPl0FYVvr554ZhvvU
Angel Of The Morning,Merrilee Rush & The Turnabouts,spotify:track:5VRU4rEmimRYkT2CvOJo05
Dedicated To The One I Love,The Mamas & The Papas,spotify:track:2S83vFC9Ju2Gm12fk1ap0c
She's Leaving Home - Take 6 / Instrumental,The Beatles,spotify:track:2rMTGwQjnOcK6T0yBCDmvb
How Love Used to Be - Single Version,The Sorrows,spotify:track:2b8XoaDGhlHQx1DcdaLrX0
Somebody Groovy - Single Version,The Mamas & The Papas,spotify:track:3BgeFyh77wCCAUPlC68YLY
Pink Confetti,Al Hirt,spotify:track:1jOri1rKv4zBFlHuVGbqwM
Killing Floor,Kaleidoscope,spotify:track:1hOPXfvRZS9AgBP03q4yGh
Sweets for My Sweet - Stereo Version,The Searchers,spotify:track:0bPmvueZJ2usI59GsCH6Ix
We Love You - Single Version/Mono,The Rolling Stones,spotify:track:5dDPFVD26G55XYYaKIexRS
Strange Brew,Cream,spotify:track:0T2gGDu1fAUMblR6WtjqB1
Randy Scouse Git - Mono Master,The Monkees,spotify:track:3KAptM8qjy33d5HeIrzRTL
Pleasant Valley Sunday - 2007 Remaster,The Monkees,spotify:track:2HqB3VSdiYmDkTTCPzVHOf
OgdensÃÂ¢ÃÂÃÂ Nut Gone Flake (Stereo),Small Faces,spotify:track:7CdjCr8kf9ryfAJm5b9qCa
Hippie Hippie Hourrah,Jacques Dutronc,spotify:track:0rVCtvXYg2mnj9cDCMCPyA
Come Away Melinda,The Big Three,spotify:track:6gyAXOzofdrxdXVyYY9LGc
The Kids Are Alright - Alternate Stereo Version,The Who,spotify:track:68yGSnAefr4r2W6NDB9stN
When Something Is Wrong with My Baby,Sam & Dave,spotify:track:056rtilqF4cqLOgDQGqYqv
Such a Shame,The Kinks,spotify:track:0sHNYAEG01I31zHXuQXhwz
Hyperbolicsyllablecsesquedalymistic - Album - Remaster,Isaac Hayes,spotify:track:4aiJAJ7afdCErvrhJcw3lc
Time Wont Let Me,The Uniques,spotify:track:1i9JdkQTalPvFxFVwZWnJR
"Mercy, Mercy",The Remains,spotify:track:3TlgTkexX4cG1EXe7SKHcV
All of Your Toys,The Monkees,spotify:track:3YfD35VVtc5zpF9whB6TNn
You'll Come Back Again,The Easybeats,spotify:track:49UOIOzzfrGjgOXp2lhkYA
Fallen Angel - Remastered,Michele,spotify:track:44BzmR1KBzU9iMkXf3fOix
Little Girl Blue,Janis Joplin,spotify:track:6tv6EVWMV7AIWi8PhZ0uvO
Good Morning Good Morning - Take 8,The Beatles,spotify:track:0ms3Eay3tRafE9yOiSS3Km
Venus,Shocking Blue,spotify:track:0Z3xhSOhrawLV81YdiDiiJ
Black Angel's Death Song - Alternative Mix,The Velvet Underground,spotify:track:2zaFdjAhIN8zPbfjK9A0n0
Don't Turn Away (From Me),Collectors,spotify:track:5IvnDBMRHMNYJFP0AQpeYv
Baila la Pulga,Los Brincos,spotify:track:28B2LwjfIfLCqswIUmDva8
Om,The Moody Blues,spotify:track:2docICmvIPlYyyrsDCD9nl
Mr. Webster,The Monkees,spotify:track:1FDR9Y33vGtBakmuUINaXg
