Lost In Emotion,Lisa Lisa And Cult Jam
"It's Not You, It's Not Me",KBC Band
Heaven In Your Arms,Dan Hartman
I Don't Mind At All,Bourgeois Tagg
Congratulations,Vesta
Carrie's Gone,Le Roux
Seeing Is Believing,Mike + The Mechanics
Don't Walk Away,Robert Tepper
Love Theme From Shogun (Mariko's Theme),Meco
Help Me!,Marcy Levy & Robin Gibb
Over The Line,Eddie Schwartz
Today Is The Day,Bar-Kays
Goin' Down,Greg Guidry
You Were Made For Me,Irene Cara
Don't Let Go,Wang Chung
Thanks For My Child,Cheryl Pepsii Riley
Heartache,Pepsi & Shirlie
Alibis,Sergio Mendes
I Think I Can Beat Mike Tyson,D.J. Jazzy Jeff & The Fresh Prince
Samantha (What You Gonna Do?),Cellarful Of Noise
Do They Know It's Christmas?,Band-Aid
Heart's On Fire,John Cafferty
Shangri-La,The Steve Miller Band
Rock Lobster,The B-52s
Night Pulse,Double Image
Save The Overtime (For Me),Gladys Knight And The Pips
Not Fade Away,Eric Hine
Ghostbusters,Ray Parker Jr.
How Does It Feel To Be Back,Daryl Hall John Oates
I Love The Bass,Bardeux
You're All I Need,Motley Crue
Pay You Back With Interest,Gary O'
I'm Steppin' Out,John Lennon
It's Tricky,Run-D.M.C.
I Didn't Mean To Turn You On,Cherelle
If I Were You,Toby Beau
I Still Can't Get Over Loving You,Ray Parker Jr.
"Powerful Stuff (From ""Cocktail"")",The Fabulous Thunderbirds
The Lady Of My Heart,Jack Wagner
That Didn't Hurt Too Bad,Dr. Hook
It's My Party,Dave Stewart and Barbara Gaskin
Own The Night,Chaka Khan
Gonna Make It,SaFire
Looks Like Love Again,Dann Rogers
I'm Alive,Neil Diamond
And We Danced,Hooters
Invincible (Theme From The Legend Of Billie Jean),Pat Benatar
When The Rain Comes Down,Andy Taylor
Theme From S-Express,S-Express
Jeopardy,Greg Kihn Band
Heartbreak Beat,Psychedelic Furs
After I Cry Tonight,Lanier & Co.
Love Plus One,Haircut One Hundred
He's My Girl,David Hallyday
Ain't Even Done With The Night,John Cougar
"Who's Johnny (""Short Circuit"" Theme)",El DeBarge
Master & Servant/(Set Me Free) Remotivate Me,Depeche Mode
The Arms Of Orion,Prince With Sheena Easton
Nobody's Perfect,Mike + The Mechanics
OO-EE-Diddley-Bop,Peter Wolf
Used To Be,Charlene & Stevie Wonder
Guaranteed For Life,Millions Like Us
Girls Are More Fun,Ray Parker Jr.
I Need You Tonight,Peter Wolf
Something's On Your Mind,D Train
Please Mr. Postman,Gentle Persuasion
King Of The Hill,Rick Pinette & Oak
Don't Want No-Body,J.D. Drews
Freakshow On The Dance Floor,Bar-Kays
Hold Me,Teddy Pendergrass And Whitney Houston
Ruthless People,Mick Jagger
Let's Go Up,Diana Ross
Don't Let Go,Isaac Hayes
What She Does To Me (The Diana Song),The Producers
You And Me Tonight,Deja
Give,Misiing Persons
The Way You Do The Things You Do/My Girl,Daryl Hall John Oates
Another Lover,Giant Steps
I'm In Love Again,Pia Zadora
Dear Mr. Jesus,Powersource (Solo...Sharon)
The Seduction (Love Theme),James Last Band
Pop Goes The Movies Part I,Meco
Merry Christmas In The NFL,"Willis ""The Guard"" & Vigorish"
"Wild Again (From ""Cocktail"")",Starship
Let Me Sleep Alone,Cugini
Solitaire,Peter McIan
"Let The River Run (Theme From ""Working Girl"")",Carly Simon
