Track,Artist,URI,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,chorusHit,sections
I'm Going Home,The Sutherland Brothers,spotify:track:7MYypRfdw7iqPxQ2zmpsNn,0.634,0.832,7,-9.721,1,0.0557,0.184,0.0119,0.329,0.822,141.336,205733,4,17.65389,14
White Heat,Barry Miles,spotify:track:2yUJANM4Ab92Ru8WqBV5zX,0.312,0.596,1,-12.331,1,0.0334,0.952,0.915,0.0913,0.505,162.874,487772,3,24.19341,22
One Morning,Brainticket,spotify:track:3fbz2pnPRQ3HUte8exWCfY,0.492,0.501,2,-16.674,1,0.0439,0.736,0.479,0.392,0.621,83.844,236000,4,30.69054,6
Behind The Mind,The Freak Scene,spotify:track:2q05ZNSPp88D69LU6TAaA2,0.511,0.856,9,-7.642,1,0.077,0.665,0.000303,0.104,0.69,116.398,136773,4,22.12125,7
She Darkened The Sun,Dillard & Clark,spotify:track:2boMDhDaz5RVKVbvv70wGr,0.551,0.309,2,-13.227,1,0.0287,0.54,0,0.33,0.638,114.491,189187,4,41.71347,9
Absolute Zero - Live,The Ozark Mountain Daredevils,spotify:track:6GthE3qxqySIma4vbHTril,0.384,0.435,7,-16.58,1,0.0401,0.248,0.862,0.777,0.928,131.031,71979,4,34.32807,5
Deportation,Eric Morris,spotify:track:0V3ixFl6ZxAtqNiiB4pImD,0.82,0.371,0,-13.278,1,0.0666,0.661,3.76e-05,0.0875,0.942,151.127,143480,4,72.69571,6
Hazard Profile Part 1,Soft Machine,spotify:track:7J2kYMUtOIzKU9Tpd6YDYX,0.278,0.744,10,-10.128,1,0.0676,0.0101,0.816,0.114,0.496,105.466,559520,4,26.28628,17
Changing Days,Ramatam,spotify:track:4UOuBffAWVKtBLZ1fIPPoP,0.44,0.327,2,-8.428,1,0.0266,0.511,0,0.0936,0.413,107.442,211000,4,21.01866,12
The Song,Ertlif,spotify:track:1m0naritoscFl5YvXEX0Xm,0.339,0.523,9,-7.75,0,0.0357,0.0764,0.0035,0.151,0.402,138.322,308714,4,80.33748,12
Der große krieger,Popol Vuh,spotify:track:3zowSPAMoHXHZr3i0iptIQ,0.179,0.411,4,-10.98,0,0.0351,0.443,0.892,0.158,0.0877,127.532,190933,4,25.61219,10
Day In - Day Out - Live,Judy Garland,spotify:track:192N4VZhsRILQcMxit639g,0.357,0.636,5,-9.43,0,0.394,0.789,0,0.982,0.715,146.298,191920,4,27.72435,8
Les Vangauguins,Jacques Dutronc,spotify:track:6Iaa0nYaYTEmtW46sf1rb2,0.549,0.336,4,-13.008,1,0.119,0.587,0,0.291,0.594,129.239,119293,3,27.28718,6
Drugsen's Trip,Kin Ping Meh,spotify:track:6Gbw05U3ZjE31SiErkPxe2,0.364,0.658,7,-9.963,1,0.0944,0.0188,0.00172,0.0581,0.488,153.138,349600,4,66.3041,12
Cool Breeze,The Jeremy Spencer Band,spotify:track:3YVTmWQvPWVSktD0DhtSYQ,0.842,0.436,0,-12.871,0,0.0314,0.638,0.184,0.118,0.974,107.645,213720,4,53.48792,7
Girl Can't Help It,Mick Ronson,spotify:track:2uNSZYKW9CLrIqMiUO8PTi,0.477,0.852,2,-8.863,1,0.0432,0.00299,6.5e-05,0.365,0.77,106.157,179600,4,75.08872,7
You'll Never Get to Heaven (Stereo Version),Twice As Much,spotify:track:7BFvYuIsaMjtb4bpoMRqiQ,0.538,0.497,6,-12.077,1,0.0319,0.631,0.000327,0.287,0.707,102.412,158920,4,77.10004,6
Roadside Welcome,Rare Bird,spotify:track:5GwtvsQug58kvhqHuN0Tjz,0.582,0.519,2,-9.133,1,0.0335,0.466,0.00127,0.0626,0.599,143.575,262093,4,38.98953,9
No One Yet,Marlena Shaw,spotify:track:3MNtvBSJw7L83axPaEfb0A,0.749,0.767,7,-6.87,1,0.116,0.461,6.97e-06,0.235,0.804,101.771,319733,4,32.7936,15
East End, West End,Eric Gale,spotify:track:5qxMymIo0skB5aNfRE0Lbu,0.528,0.612,9,-11.007,1,0.0444,0.108,0.0073,0.299,0.844,167.631,367933,4,24.00357,17
Honey Chile,The Jackson 5,spotify:track:2Q5prZghdYUD3YZvSEI9Vl,0.393,0.723,6,-11.78,1,0.457,0.454,2.26e-05,0.639,0.69,190.158,165827,4,22.00059,7
Think About Me,Marlena Shaw,spotify:track:0tdubD3Xs0abEF4bjJFg08,0.6,0.832,1,-6.939,1,0.0503,0.294,3.81e-06,0.597,0.912,90.032,271093,4,41.34435,10
Double Lovin´,Aynsley Dunbar Retaliation,spotify:track:1TrvuBGqATex8EHajEHrqo,0.616,0.27,2,-9.152,1,0.0466,0.891,2.6e-05,0.104,0.258,79.909,229267,3,28.80749,13
The Power and the Glory,Weldon Irvine,spotify:track:1QCJasXy3h9LWLqX8sub4P,0.497,0.627,5,-14.198,0,0.0628,0.0727,0.35,0.161,0.769,128.503,344387,4,32.72936,15
The Hurt,Yusuf / Cat Stevens,spotify:track:0ssyUYzev6ulxNWQcAPk6m,0.693,0.592,7,-9.549,1,0.238,0.81,0.00151,0.097,0.66,76.827,259827,4,18.63686,14
Just For A Moment,Ronnie Wood,spotify:track:4o2ARLU2ALFpK0Yb9FUPqo,0.685,0.245,4,-14.471,1,0.062,0.774,0.0402,0.113,0.603,120.156,177427,4,33.16402,7
March Across the Land,Voices Of East Harlem,spotify:track:0o7u1sc9ZQYoQrpnGnuveU,0.68,0.812,5,-6.522,0,0.181,0.523,0,0.693,0.768,99.278,204187,4,33.83914,7
Child At Play,The Advancement,spotify:track:0FoEdUkjZv0LyC1qQ8mtID,0.496,0.46,7,-12.563,1,0.0292,0.0173,0.134,0.152,0.434,80.049,141680,4,57.33868,6
The Pointed Man - Narration,Harry Nilsson,spotify:track:1Db5YKbyraOfnQX9boBbfm,0.649,0.391,10,-17.01,0,0.339,0.839,3e-05,0.509,0.793,112.26,163800,3,61.98737,8
Good Golly Miss Molly,The Sonics,spotify:track:7Iu9BzSnDs5en16EHrktyT,0.54,0.936,9,-8.006,0,0.0858,0.384,1.55e-06,0.697,0.815,87.968,125907,4,40.71727,6
Bombsite Boy,The Adverts,spotify:track:5tTw309qXBhRkqVQ2P0umc,0.278,0.898,9,-8.065,1,0.356,0.0169,2.37e-06,0.414,0.182,95.482,207920,4,25.67189,7
Come Into Knowledge,RAMP,spotify:track:0tYUhYK66U9sRGBjqpZJxc,0.673,0.578,9,-11.829,0,0.0904,0.586,0.0629,0.226,0.727,77.866,277467,4,74.30653,9
Sing To Me,Marlena Shaw,spotify:track:1dIHKoFW2XdQfT6qLRr4On,0.488,0.631,7,-8.874,1,0.0322,0.308,0,0.0766,0.514,79.547,242267,4,43.00575,13
Momentum,Harold Fisher,spotify:track:0bgn4oinhPMrKzEPotVzPV,0.432,0.411,5,-14.644,1,0.037,0.414,0.675,0.0685,0.823,135.158,144948,4,23.44627,10
Shopping Bag Menagerie,Rotary Connection,spotify:track:4AkAWbOphRRKjFWwr1KIEA,0.353,0.154,0,-21.4,1,0.0399,0.716,0.00116,0.117,0.139,97.52,231427,4,52.83418,12
The Biggest Prize In Sport,999,spotify:track:6KcODQAxenK2PILuKLHKwg,0.355,0.711,9,-9.626,0,0.0468,0.000105,0.427,0.116,0.47,89.73,188000,4,35.15074,9
5 Definitions Of Love,Spanky & Our Gang,spotify:track:6JWp7h7Snda0GPgbN9P6II,0.52,0.535,8,-7.274,1,0.0409,0.756,0,0.29,0.524,76.779,139360,4,31.41017,8
No Fun - Unedited Version, October 1976,Sex Pistols,spotify:track:4oFjQ7mUEcRnIGrZd3bcUo,0.403,0.921,9,-7.198,1,0.136,0.0119,0,0.571,0.269,135.027,423907,4,28.49983,15
Seaside Special,Sam Fonteyn,spotify:track:2l5Be1ZO1XfEqlIGzRZQVX,0.355,0.585,2,-11.781,1,0.0354,0.0091,0.103,0.0881,0.781,181.694,135863,4,24.89364,8
Marsha Mamaillia,Barnaby Bye,spotify:track:3dSy1HYefppvYPWArOT3cw,0.629,0.66,1,-8.1,0,0.0264,0.136,0.000417,0.0663,0.508,105.592,207533,1,39.8725,9
Times,Rare Bird,spotify:track:2UDrcH0B19XYOU0XaFV9QI,0.483,0.451,9,-15.885,1,0.254,0.053,0.864,0.0566,0.462,123.399,205613,4,40.18739,8
Gedenkminute (fuer A+K),NEU!,spotify:track:66RE8UHmlMwTTJclCLMctJ,0.139,0.0331,7,-37.765,1,0.0641,0.961,0.973,0.158,0.0592,74.24,126173,4,70.25501,4
Heartless,Ronnie Foster,spotify:track:0N1Oox1uVME157ST8JKbc7,0.691,0.701,0,-9.076,1,0.0297,0.159,0.811,0.0755,0.861,94.233,225693,4,32.11502,11
Oh to Love You,Beck, Bogert, Appice,spotify:track:6pOJq6BPcw2G9Gftl2m7ER,0.404,0.209,0,-17.398,1,0.0303,0.451,8.24e-05,0.175,0.43,141.372,244000,4,21.59249,13
Games People Play,The Chi-Lites,spotify:track:45OAOAexgMl45HA8wrpUxi,0.586,0.629,8,-10.333,1,0.0409,0.264,0,0.0468,0.826,90.903,219093,4,25.73926,10
Boogie,Eulenspygel,spotify:track:1aIjQARg0WNSRi9MOnZVCg,0.493,0.75,2,-7.258,1,0.0731,0.00738,2.13e-05,0.147,0.69,150.265,236089,4,26.22548,12
Save the Children,Gil Scott-Heron,spotify:track:0tq9Wk9a8WtCxHEDUoPHRp,0.65,0.552,7,-9.489,0,0.0349,0.579,0.000125,0.151,0.961,153.401,267360,4,39.74507,13
Baby Don't You Do It,The Who,spotify:track:0eUyu0pizj9nAxGMjmT3my,0.232,0.927,9,-3.724,1,0.203,0.0773,0,0.332,0.505,175.256,147333,4,61.44902,7
Around & Around,Flamin' Groovies,spotify:track:51z2Tr3dcNOPCk7sSjVIBG,0.246,0.861,2,-8.978,1,0.203,0.308,0.154,0.905,0.714,185.304,206613,4,32.9319,9
Boy from Witbank,Sonny Fortune,spotify:track:20LyX88qTyU4Ws9YmJV5Rm,0.457,0.81,8,-10.611,1,0.0539,0.0152,0.173,0.0618,0.569,110.576,311387,4,48.83253,12
Spitzenqualität,NEU!,spotify:track:2JzrqPOl5RQYODxArteIij,0.335,0.798,3,-14.892,1,0.0664,0.0124,0.871,0.376,0.0316,126.387,215333,4,32.57239,10
Hare Krishna,Alice Coltrane,spotify:track:1dQ691F7ixVFl9sTXM77XZ,0.116,0.461,9,-11.464,1,0.0346,0.00316,0.892,0.142,0.0368,94.97,493693,3,51.07319,19
