Track	Artist	URI	danceability	energy	key	loudness	mode	speechiness	acousticness	instrumentalness	liveness	valence	tempo	duration_ms	time_signature	chorusHit	sections
Bringin' On The Heartbreak	Def Leppard	spotify:track:7iEVmnzJr1V7duYKPWplzp	0.329	0.676	9	-9.036	0	0.0324	0.0366	0	0.18	0.529	78.217	273733	4	45.3859	8	1
Rain In The Summertime [Thunder Mix]	The Alarm	spotify:track:6IQCWfJs2kK1KI3rKRhW13	0.553	0.819	0	-7.559	0	0.0355	0.000159	0.000205	0.0542	0.707	108.125	390227	4	23.69861	16	0
Go Deh Yaka - Club Mix	Monyaka	spotify:track:27hg4veAkzImc2LqMSZIPa	0.867	0.498	4	-14.536	0	0.108	0.0508	0.000576	0.142	0.89	98.892	397027	4	29.88345	19	0
Rain On The Scarecrow	John Mellencamp	spotify:track:24iUpyUeGv6AoikfxpRofO	0.573	0.91	6	-3.813	0	0.037	0.0261	0.00219	0.209	0.611	123.167	226227	4	32.0704	12	1
Ladies Night	Kool & The Gang	spotify:track:1i2ZI3tXuJUEjCY6zF3G9w	0.684	0.659	9	-9.549	1	0.18	0.216	3.16e-05	0.0674	0.921	111.393	205680	4	27.55789	11	1
Heavenly Action	Erasure	spotify:track:2vTjXsdRHEbTdT9HgeA2nv	0.703	0.836	2	-12.168	1	0.0385	0.157	0.00185	0.0434	0.964	104.467	206867	4	44.42353	9	0
Wurlitzer Jukebox	Young Marble Giants	spotify:track:7m9RKNq6Yon7NB11MWMCSk	0.894	0.402	1	-10.307	0	0.0875	0.5	0.817	0.0956	0.417	129.188	165387	4	25.38615	8	0
Is This Love	Survivor	spotify:track:6rt4FH5qFgXGmyhgKmlJcL	0.679	0.772	3	-8.946	1	0.0328	0.557	0	0.0338	0.749	118.129	222560	4	27.70741	10	1
I've Been Around	Peter Zaremba's Love Delegation	spotify:track:4YsmeG9aoVH0NuAo7MOA2p	0.449	0.995	2	-4.131	1	0.191	0.181	0	0.847	0.401	123.636	155868	4	31.50968	7	0
The Flame	Cheap Trick	spotify:track:528CAH5pTLq86oZ52fHifA	0.629	0.581	4	-11.856	1	0.027	0.513	2.06e-06	0.0755	0.359	97.074	338800	4	40.10451	11	1
Skipping	The Associates	spotify:track:6cVzu3LZMA7CjT4TfuiGfL	0.361	0.885	4	-6.266	0	0.0913	0.00464	0.378	0.134	0.508	137.142	244387	4	53.47268	9	0
Tennessee Whiskey	David Allan Coe	spotify:track:79K36XF7WlgTvP3JbW17UE	0.675	0.368	2	-11.337	1	0.0287	0.688	0	0.0612	0.472	105.677	179560	4	28.35068	8	0
Sisters Are Doin' It For Themselves	Eurythmics & Aretha Franklin	spotify:track:6pPCOXIQeNMr1oCWJTomSf	0.67	0.903	10	-5.796	0	0.0402	0.0129	0	0.331	0.953	136.193	357147	4	38.76433	13	1
Voodoo	Black Sabbath	spotify:track:71JpzDTq6ri6c8Z58w4MX5	0.523	0.804	1	-9.548	1	0.0291	0.0356	0.315	0.291	0.723	102.088	272733	4	85.51145	10	0
It's a Fact	Jeff Lorber	spotify:track:2mNtlA42zixNgI3eKupsqT	0.575	0.634	4	-8.061	0	0.0449	0.811	0.00661	0.433	0.631	91.888	255400	4	49.74781	12	0
The Blind	The Essence	spotify:track:0YOJghZryOyubHYN2EwFCb	0.553	0.646	5	-12.003	1	0.0353	6.83e-05	0.0153	0.11	0.574	130.115	139200	4	28.14884	9	0
Git On Up	Fast Eddie	spotify:track:2R3UG06L8WBC45d3dOxahJ	0.87	0.918	11	-4.138	0	0.0621	0.00129	0.0189	0.0579	0.924	124.372	296129	4	17.89246	14	0
Do Ya, Do Ya (Wanna Please Me)	Samantha Fox	spotify:track:487g8FbkUPBWiWSzrMNGsm	0.527	0.899	10	-9.881	0	0.0795	0.0604	3.93e-05	0.296	0.592	170.127	224267	4	56.8897	7	1
