Track,Artist,URI,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,chorusHit,sections
Dang Me,Roger Miller,spotify:track:20iH1uibQIUqNFk3wzG7AG,0.564,0.378,9,-14.468,1,0.168,0.705,0.000716,0.0723,0.687,197.325,102400,4,55.0001,5
Tears And Roses,Al Martino,spotify:track:40yJppEKT0Yud2RUsXb9tk,0.566,0.224,5,-15.366,1,0.0342,0.833,0,0.292,0.5,115.2,139600,3,50.60841,7
When You Dance,Jay & The Americans,spotify:track:2oHcWtwRY6IEiKHCPrN5Ji,0.518,0.768,7,-7.373,1,0.0493,0.586,4.47e-05,0.0811,0.761,133.927,174040,4,26.42985,11
It Ain't No Use,Major Lance,spotify:track:0wGKdgfF9X8KCdZjfsvNui,0.752,0.51,5,-8.587,0,0.0366,0.877,0,0.373,0.951,119.508,167840,4,24.88254,10
(The Man Who Shot) Liberty Valance,Gene Pitney,spotify:track:2ZHxl0iAc5mwJFX6Y5TvRU,0.602,0.591,1,-8.684,0,0.053,0.739,0,0.175,0.837,88.395,178440,4,26.56873,8
Miss Fine,The New Yorkers,spotify:track:2hQGSyxrGKGlvCNDCFhy9d,0.577,0.874,7,-6.105,1,0.0458,0.753,0.000152,0.111,0.885,140.132,148413,4,44.23655,7
Slip Away,Clarence Carter,spotify:track:7r3Hwig1mvtlVq0ZbJ09Wb,0.784,0.433,1,-9.1,1,0.0376,0.299,0.00016,0.0248,0.917,113.491,153298,4,29.73252,8
In The Still Of The Night,Paul Anka,spotify:track:4ND9SgqQMRgoA0TEybnCvz,0.197,0.483,5,-6.75,1,0.0339,0.692,0,0.243,0.339,189.622,163320,3,30.93662,9
Come See,Major Lance,spotify:track:7zMN7kB99o6zAbvDCoLoaD,0.804,0.608,6,-9.05,1,0.0361,0.686,0,0.0353,0.894,119.611,140040,4,71.13549,5
The Popcorn,James Brown,spotify:track:5Nv8GtZ2u87p2RuWoZKZkC,0.704,0.799,8,-8.092,1,0.0437,0.455,0.185,0.124,0.886,120.218,314640,4,19.32218,11
The Christmas Song (Merry Christmas To You),Nat King Cole,spotify:track:4PS1e8f2LvuTFgUs1Cn3ON,0.319,0.21,1,-15.231,1,0.0341,0.92,8.06e-05,0.138,0.209,78.696,192160,4,51.77382,11
Lolita Ya-Ya,The Ventures,spotify:track:4YflRqjR3TF8m16qh5e7UU,0.615,0.427,3,-13.584,1,0.0381,0.698,0.491,0.194,0.611,132.743,128360,4,35.27356,6
Why Can't You Bring Me Home,Jay & The Americans,spotify:track:0YpzbiqE1OG5kzVgP3Nkln,0.649,0.834,10,-10.97,1,0.0738,0.66,0,0.0579,0.715,134.017,183800,4,26.33652,8
"Mixed-Up, Shook-Up, Girl",Patty & The Emblems,spotify:track:1pVFchEqnrpIEtuGrB4srT,0.597,0.47,5,-10.207,1,0.033,0.248,0,0.127,0.615,128.8,126920,4,24.14261,8
Darkest Street In Town,Jimmy Clanton,spotify:track:6E76rQhgtbphqL2CUJedhZ,0.502,0.832,5,-7.354,0,0.0394,0.417,0,0.0897,0.975,147.778,139760,4,22.7296,10
Glad To Be Unhappy,The Mamas & The Papas,spotify:track:1Dw7FyvCJ21oENBoyG3dfn,0.629,0.579,6,-12.498,1,0.0526,0.693,0,0.363,0.826,109.946,102227,4,57.5319,4
It's Got To Be Mellow,Leon Haywood,spotify:track:1XTzERcWA8JFv7q1jHdFI8,0.607,0.534,5,-8.844,0,0.0316,0.341,0,0.0982,0.839,119.008,143640,4,26.32988,9
Him Or Me - What's It Gonna Be?,Paul Revere & The Raiders,spotify:track:0AA6HF90AGlS4KhUfJH74f,0.528,0.838,3,-5.506,1,0.0265,0.292,0,0.0954,0.905,97.264,170960,4,33.70623,8
Baby I Need Your Loving,Four Tops,spotify:track:3aCbwWCYCT3MJjZeUnlcp4,0.632,0.686,0,-6.116,0,0.0395,0.437,0,0.193,0.65,121.414,166027,4,40.71296,10
Aunt Dora's Love Soul Shack,Arthur Conley,spotify:track:45dJNtYHmJ5MTmsjZWRN1S,0.802,0.671,7,-6.606,1,0.0378,0.204,0,0.0566,0.908,119.767,168533,4,46.97249,10
The Love I Saw In You Was Just A Mirage,Smokey Robinson & The Miracles,spotify:track:0T7zBRcchKYBl9g3ZZhyf4,0.593,0.483,0,-9.275,1,0.0286,0.434,0,0.109,0.73,98.934,180213,4,39.53558,10
That's The Way Love Is,Marvin Gaye,spotify:track:51ePCpO1xUeHYhvgT67YPX,0.738,0.465,10,-10.72,0,0.0323,0.17,5.29e-06,0.0747,0.901,110.643,222173,4,36.46977,12
That's The Way God Planned It,Billy Preston,spotify:track:1oT3VkbjXWsciXQ2xNmd5x,0.521,0.643,5,-9.18,1,0.0465,0.558,0.00232,0.0456,0.623,134.407,254107,4,39.08046,11
Fannie Mae,Buster Brown,spotify:track:3dMpikgb98W6TmcgkEt1Js,0.61,0.533,10,-7.324,0,0.0368,0.92,0.531,0.13,0.842,124.29,172160,4,25.40098,9
From Me To You,The Beatles,spotify:track:1euKWJfJSfPhgSendPrcXb,0.581,0.821,0,-4.387,1,0.0318,0.507,0,0.108,0.968,136.145,116160,4,42.83398,6
Love Will Find A Way,Jackie DeShannon,spotify:track:4QU9f1lOmTHwIyH0YbbX67,0.653,0.376,0,-14.969,1,0.0357,0.818,0.336,0.122,0.855,114.273,159867,4,39.27973,8
Think Of The Good Times,Jay & The Americans,spotify:track:7MfympqWLMGXftSmPWY3W2,0.332,0.495,8,-11.345,1,0.0348,0.63,1.12e-06,0.327,0.658,113.194,170307,4,45.87437,9
Bon-Doo-Wah,The Orlons,spotify:track:5lFQmqmOVEH6XlOsZOk9TT,0.588,0.789,5,-6.386,1,0.0287,0.367,7.69e-05,0.198,0.976,97.821,128093,4,33.38156,9
Dedicated Follower Of Fashion,The Kinks,spotify:track:1K61z11CzBUxkwOhtSzq2a,0.406,0.879,0,-6.662,1,0.0433,0.369,1.54e-06,0.41,0.885,172.994,180893,4,19.88327,6
Surfer Girl,The Beach Boys,spotify:track:1AJ5F0FMTC3yFU3ocjy1gE,0.522,0.37,2,-8.364,1,0.0253,0.651,0,0.142,0.653,105.826,148533,3,68.00337,6
We're Doing Fine,Dee Dee Warwick,spotify:track:1E2FDj8wsyqAsEGMqypswj,0.537,0.565,8,-5.251,1,0.106,0.611,1.13e-06,0.0671,0.638,122.382,155267,4,20.90205,9
Maybelline,Johnny Rivers,spotify:track:1kjJZ1cuWV8cBICGmQJcy4,0.598,0.551,11,-11.939,0,0.051,0.534,8.42e-06,0.917,0.898,92.573,137200,4,28.10065,7
Route 66 Theme,Nelson Riddle,spotify:track:6KZpSdpQGbTxP5jKfKY8cV,0.286,0.472,0,-12.264,1,0.0297,0.0279,0.0151,0.211,0.575,154.019,130667,4,48.90527,6
Iko Iko,The Dixie Cups,spotify:track:2xZPpUIcajScKX99PH0fD9,0.918,0.489,9,-13.85,0,0.193,0.413,0.000655,0.0795,0.962,100.406,122344,4,32.03239,8
She Loves You,The Beatles,spotify:track:6nEkxYIEnrbYH7h1hJ8Xn6,0.377,0.916,4,-3.199,0,0.0481,0.26,0,0.074,0.912,75.533,140920,4,33.98704,7
Part Time Love,Little Johnny Taylor,spotify:track:37sL2EUHL00w7uiH5tpY5P,0.414,0.489,0,-10.996,1,0.0356,0.596,0.000171,0.195,0.532,91.351,228333,3,17.16817,10
We Got A Thing That's In The Groove,The Capitols,spotify:track:2Du61OdJ7CXmUBG7FaZST6,0.663,0.527,9,-12.424,1,0.0552,0.571,0,0.126,0.925,81.706,147187,4,67.46392,4
Wait A Minute,The Coasters,spotify:track:6Jm93p3ISmnMDH3IlN3vxG,0.718,0.538,1,-8.905,1,0.074,0.848,0,0.347,0.796,128.293,159667,4,54.89038,7
It Will Stand,The Showmen,spotify:track:3ln9brkScMKIE9MsPirzLb,0.67,0.507,7,-8.274,0,0.0387,0.717,0,0.182,0.847,145.581,142133,4,47.06948,6
