Track,Artist,URI,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,chorusHit,sections
Don't Stop 'til You Get Enough,Michael Jackson,spotify:track:46eu3SBuFCXWsPT39Yg3tJ,0.878,0.821,11,-9.875,1,0.089,0.126,0.0461,0.183,0.947,118.881,365467,4,34.59036,15
"I Love You, I Love You, I Love You",Ronnie McDowell,spotify:track:6xVhtwKf6PJ0GzH33UTwmF,0.719,0.503,6,-13.847,1,0.0313,0.225,0.00605,0.0982,0.763,105.14,196227,4,43.84393,9
Cheer,Potliquor,spotify:track:3UHSbjTOdqvqdLV0asr7HC,0.36,0.784,5,-5.935,1,0.0938,0.000118,0.000532,0.409,0.889,169.298,295942,4,33.82991,11
Dedicated To The One I Love,The Temprees,spotify:track:1AlbjjksaiWcuzKpzt2DIR,0.348,0.318,5,-11.448,0,0.0289,0.511,3.99e-05,0.104,0.294,140.025,407040,3,34.92165,14
She Did It,Eric Carmen,spotify:track:6CeLb2zvXuWSTgL98b0kY2,0.646,0.579,3,-10.693,1,0.0333,0.431,0,0.104,0.764,112.873,227173,4,23.461,11
Two Doors Down,Dolly Parton,spotify:track:0EWJ1KT2q3RdbdQIUYqZsp,0.694,0.698,6,-9.41,0,0.086,0.645,0.0243,0.0484,0.867,98.338,188871,4,38.84337,8
Flim Flam Man,Barbra Streisand,spotify:track:6nTlec1eMRmkeXjZ7X9TBT,0.551,0.578,6,-12.484,0,0.0492,0.342,0,0.417,0.778,116.693,150773,4,24.81934,8
Trying To Make A Fool Of Me,The Delfonics,spotify:track:6m0r7WzauxafqK0i2U7Avr,0.551,0.723,4,-6.003,1,0.029,0.579,0,0.594,0.733,78.296,183973,4,60.18093,9
The Lord's Prayer,Sister Janet Mead,spotify:track:2GLnxNLB83jsC3T3RF2XBW,0.64,0.395,4,-11.628,0,0.032,0.65,0.0408,0.248,0.633,124.164,186000,4,37.95199,8
Barracuda,Heart,spotify:track:4KfSdst7rW39C0sfhArdrz,0.547,0.691,4,-13.553,0,0.0369,0.015,0.105,0.144,0.667,137.148,261933,4,63.71707,10
Crazy Love,The Allman Brothers Band,spotify:track:4JHoOfnad61lljGlVhfFSb,0.506,0.877,0,-9.342,1,0.0436,0.3,0.00033,0.422,0.765,156.689,224000,4,31.93424,8
Last Kiss,Wednesday,spotify:track:1pGlto2dqYjBc7TECAmYgU,0.684,0.365,1,-11.352,0,0.0828,0.0229,0.0025,0.0949,0.554,131.166,156733,4,26.34627,9
Marianne,Stephen Stills,spotify:track:1HADDYvL2Mp6D1cnqkzo1x,0.539,0.698,2,-10.172,1,0.0322,0.458,3.79e-05,0.33,0.653,145.478,149600,4,28.06037,8
I Ain't Got Time Anymore,The Glass Bottle,spotify:track:453GRO0bPdqtk8mvauvZuS,0.476,0.294,5,-18.416,1,0.0346,0.561,1.54e-06,0.0879,0.567,82.154,163938,4,35.50433,8
'til I Can Make It On My Own,Tammy Wynette,spotify:track:0aJHZYjwbfTmeyUWF7zGxI,0.45,0.294,7,-12.022,1,0.0318,0.832,3.53e-05,0.108,0.146,141.148,182080,4,27.5791,14
Rock 'N Roll Soul,Grand Funk Railroad,spotify:track:2xoB9tMHfpQbDK4nqIFXsX,0.442,0.972,11,-3.14,0,0.104,0.00133,0.0237,0.975,0.434,126.396,244307,4,22.70671,12
"Ob-la-di, Ob-la-da",The Beatles,spotify:track:1gFNm7cXfG1vSMcxPpSxec,0.818,0.728,10,-8.331,1,0.0314,0.232,0.0642,0.251,0.975,113.059,188960,4,54.92533,9
Funk It Up (David's Song),Sweet,spotify:track:5D05x38fGH1rCrD8DodrHM,0.712,0.578,9,-11.103,0,0.0487,0.00897,0.032,0.113,0.774,115.025,324093,4,54.60592,13
Out In The Country,Three Dog Night,spotify:track:5TdGMnyETHJU5RdjFFbVRR,0.579,0.466,7,-14.598,1,0.0303,0.131,2.16e-06,0.1,0.66,99.856,189400,4,30.03903,8
Rock Me On The Water,Jackson Browne,spotify:track:5iGBFRhXqD0cbYaA25UE93,0.452,0.494,7,-10.194,1,0.0279,0.803,1.1e-05,0.187,0.486,99.914,252040,4,37.97738,13
The Way I Want To Touch You,Captain & Tennille,spotify:track:7KdcZQ3GJeGdserhK61kfv,0.664,0.585,0,-7.062,0,0.0248,0.624,0.000112,0.343,0.597,111.29,163587,4,34.25926,8
Let's Get It On,Marvin Gaye,spotify:track:0jHkgTtTaqg5LNCiYDQPUB,0.55,0.611,3,-10.657,1,0.0443,0.0392,0,0.0631,0.626,168.512,290960,4,47.21157,13
"I Can't Help Myself (Sugar Pie, Honey Bunch)",Donnie Elbert,spotify:track:6v3R4WlQUw1hweXEeRcRsW,0.714,0.52,10,-13.473,1,0.0608,0.649,0.00435,0.047,0.97,130.656,156723,4,38.73182,11
Oh Girl,The Chi-lites,spotify:track:0cFlXjTxFdMGGPfLVpt3Wv,0.418,0.402,10,-12.942,1,0.0288,0.226,0,0.103,0.601,133.683,216280,4,31.34278,11
Oh La De Da,The Staple Singers,spotify:track:1hKb6MXvSIxIaYDOyijdQX,0.568,0.839,7,-6.244,1,0.0321,0.00645,7.93e-06,0.419,0.906,141.9,215293,4,34.65496,11
Saturday Night,Bay City Rollers,spotify:track:78zYiMv9yNTHgmm6kaUPCm,0.514,0.681,7,-10.026,1,0.065,0.199,0.0356,0.0745,0.913,136.821,174400,4,29.4059,11
